Week	Date	Opponent	Result	Attendance
1	September 27, 1953	at Chicago Cardinals	W 24-13	16,055
2	October 2, 1953	at Philadelphia Eagles	T 21-21	19,099
3	October 11, 1953	New York Giants	W 13-9	26,241
4	October 18, 1953	Cleveland Browns	L 30-14	33,963
5	October 25, 1953	at Baltimore Colts	L 27-17	34,031
6	November 1, 1953	at Cleveland Browns	L 27-3	47,845
7	November 8, 1953	Chicago Cardinals	W 28-17	19,654
8	November 15, 1953	Chicago Bears	L 27-24	21,392
9	November 22, 1953	at New York Giants	W 24-21	16,887
10	November 29, 1953	at Pittsburgh Steelers	W 17-9	17,026
11	December 6, 1953	Philadelphia Eagles	W 10-0	21,579
12	December 13, 1953	Pittsburgh Steelers	L 14-13	22,057
