Pick	Player	Position	Nationality	NHL team	College/junior/club team
136	Andreas Dackell	Right Wing	Sweden	Ottawa Senators	Brynäs IF (Sweden)
137	Michel Larocque	Goaltender	Canada	San Jose Sharks	Boston University (NCAA)
138	Todd Miller	Centre	Canada	New York Islanders	Sarnia Sting (OHL)
139	Robert Esche	Goaltender	United States	Winnipeg Jets (from Los Angeles)	Detroit Whalers (OHL)
140	Dmitriy Yakushin	Defence	Ukraine	Toronto Maple Leafs (from Dallas)	Pembroke (COJHL)
141	Bryan Randall	Centre	Canada	Edmonton Oilers	Medicine Hat Tigers (WHL)
142	Ryan Davis	Right Wing	Canada	Buffalo Sabres	Owen Sound Platers (OHL)
143	Aaron Baker	Goaltender	Canada	Hartford Whalers	Kennewick Tri-City Americans (WHL)
144	Magnus Nilsson	Left Wing	Sweden	Detroit Red Wings (from Anaheim)	IK Vita Hasten (Sweden)
145	Sean Ritchlin	Right Wing	United States	New Jersey Devils	University of Michigan (NCAA)
146	Brian Willsie	Right Wing	Canada	Colorado Avalanche (from Winnipeg via Los Angeles)	Guelph Storm (OHL)
147	Nolan McDonald	Goaltender	Canada	Vancouver Canucks	University of Vermont (NCAA)
148	Chris Bogas	Defence	United States	Toronto Maple Leafs (from Calgary)	Michigan State University (NCAA)
149	Blaine Russell	Goaltender	Canada	Mighty Ducks of Anaheim (from St. Louis)	Prince Albert Raiders (WHL)
150	Peter Bergman	Centre	Canada	Pittsburgh Penguins (compensatory)	Kamloops Blazers (WHL)
151	Lucio DeMartinis	Left Wing	Canada	Toronto Maple Leafs	Shawinigan Cataractes (QMJHL)
152	Nikolai Ignatov	Defence	Russia	Tampa Bay Lightning (from Tampa Bay via St. Louis)	CSKA Moscow (Russia)
153	A. J. van Bruggen	Right Wing	United States	Washington Capitals	Northern Michigan University (NCAA)
154	Brett Clark	Defence	Canada	Montreal Canadiens	University of Maine (NCAA)
155	Chris Lane	Defence	Canada	Boston Bruins	Spokane Chiefs (WHL)
156	Gaetan Poirier	Left Wing	Canada	Florida Panthers	Merrimack College (NCAA)
157	Xavier Delisle	Centre	Canada	Tampa Bay Lightning (from Chicago)	Granby Prédateurs (QMJHL)
158	Ola Sandberg	Defence	Sweden	New York Rangers	Djurgardens IF (Sweden)
159	Stephen Wagner	Goaltender	Canada	St. Louis Blues (from Pittsburgh)	Olds Grizzlys ( AJHL )
160	Kai Fischer	Goaltender	Germany	Colorado Avalanche (from Philadelphia)	Düsseldorfer EG (Germany)
161	Darren Mortier	Centre	Canada	Buffalo Sabres (from Colorado)	Sarnia Sting (OHL)
