Player	Position	Round	Overall	College
Eric Turner	Defensive Back	1	2	UCLA
Ed King	Guard	2	29	Auburn
James Jones	Defensive tackle	3	57	Northern Iowa
Pio Sagapolutele	Defensive Tackle	4	85	San Diego State
Michael Jackson	Wide Receiver	6	141	Southern Mississippi
Frank Conover	Defensive tackle	8	197	Syracuse
Raymond Irvin	Defensive Back	9	225	Central Florida
Shawn Wiggins	Wide Receiver	9	239	Wyoming
Brian Greenfield	Punter	10	252	Pittsburgh
Todd Jones	Offensive tackle	11	280	Henderson State
Elijah Austin	Defensive tackle	12	308	North Carolina State
