Title	Directed by	Written by	Original air date	Production code
" Dallas "	Don Colliver	Peter Field Rachael Ray	March7,2003	AD1B07
" Vermont "	Don Colliver	Peter Field Rachael Ray	April23,2003	AD1B01
" Oahu "	Don Colliver	Peter Field Rachael Ray	April30,2003	AD1B04
" Cape Cod "	Don Colliver	Peter Field Rachael Ray	May14,2003	AD1B02
" Hawaii "	Don Colliver	Peter Field Rachael Ray	May21,2003	AD1B05
" Boston "	Don Colliver	Peter Field Rachael Ray	May28,2003	AD1B03
" Corpus Christi "	Don Colliver	Peter Field Rachael Ray	June4,2003	AD1B09
" Memphis "	Don Colliver	Peter Field Rachael Ray	June11,2003	AD1B10
" Maui "	Don Colliver	Peter Field Rachael Ray	June18,2003	AD1B06
" Austin "	Don Colliver	Peter Field Rachael Ray	June25,2003	AD1B08
" New Orleans "	Don Colliver	Peter Field Rachael Ray	July2,2003	AD1B11
" Nashville "	Don Colliver	Peter Field Rachael Ray	July9,2003	AD1B12
" Laguna Beach "	Don Colliver	Peter Field Rachael Ray	July23,2003	AD1B13
" Sedona "	Don Colliver	Peter Field Rachael Ray	September3,2003	AD1B15
" Palm Springs "	Don Colliver	Peter Field Rachael Ray	September10,2003	AD1B14
" Milwaukee "	Don Colliver	Peter Field Rachael Ray	September17,2003	AD1B17
" Tucson "	Don Colliver	Peter Field Rachael Ray	September24,2003	AD1B16
" Chicago "	Don Colliver	Peter Field Rachael Ray	October8,2003	AD1B18
" Montreal "	Don Colliver	Peter Field Rachael Ray	December10,2003	AD1B24
" Denver "	Don Colliver	Peter Field Rachael Ray	January7,2004	AD1B21
" Aspen "	Don Colliver	Peter Field Rachael Ray	January21,2004	AD1B22
" Portland "	Don Colliver	Peter Field Rachael Ray	February25,2004	AD1B23
" Santa Fe "	Don Colliver	Peter Field Rachael Ray	March10,2004	AD1B20
" Adirondacks "	Don Colliver	Peter Field Rachael Ray	April2,2004	AD1B25
" Cleveland "	Don Colliver	Peter Field Rachael Ray	April9,2004	AD1B19
" Saratoga "	Don Colliver	Peter Field Rachael Ray	April16,2004	AD1B26
