Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	32-26-2	Will Campuzano	Decision (split)	Vale Tudo Japan - VTJ 3rd	3	5:00	Tokyo , Japan
Win	32-25-2	Taylor McCorriston	Submission (heel hook)	Vale Tudo Japan - VTJ 2nd	2	2:34	Tokyo , Japan
Win	31-25-2	Rumina Sato	TKO (punches & elbows)	Vale Tudo Japan 2012	1	0:39	Tokyo , Japan
Loss	30-25-2	Yusup Saadulaev	KO (slam)	DREAM: Fight for Japan	1	0:42	Saitama , Japan
Loss	30-24-2	Antonio Banuelos	Decision (split)	Dream 17	3	5:00	Saitama , Japan
Win	30-23-2	Masakazu Imanari	Decision (unanimous)	Dream: Japan GP Final	2	5:00	Tokyo , Japan
Win	29-23-2	Atsushi Yamamoto	Decision (split)	Dream: Fight for Japan!	2	5:00	Saitama , Japan
Win	28-23-2	Yoshiro Maeda	TKO (corner stoppage)	Dream: Fight for Japan!	2	0:43	Saitama , Japan
Win	27-23-2	Kazuhisa Watanabe	Submission (armbar)	Dynamite!! 2010	3	2:50	Saitama , Japan
Loss	26-23-2	Joachim Hansen	Submission (triangle choke)	Dream 16	1	2:48	Nagoya , Japan
Loss	26–22–2	Akiyo Nishiura	TKO (punches)	Dream 14	1	2:51	Saitama , Japan
Win	26–21–2	Kim Jong-Man	Decision (unanimous)	Dynamite!! 2009	3	5:00	Saitama , Japan
Loss	25–21–2	Hiroyuki Takaya	TKO (punches)	Dream 11	2	0:32	Yokohama , Japan
Win	25–20–2	Abel Cullum	Submission (rear-naked choke)	Dream 9	2	1:38	Yokohama , Japan
Loss	24–20–2	Daiki Hata	Decision (unanimous)	Dream 8	2	5:00	Nagoya , Japan
Loss	24–19–2	Daisuke Nakamura	Submission (armbar)	Dynamite!! 2008	1	2:23	Saitama , Japan
Loss	24–18–2	Atsushi Yamamoto	Decision (unanimous)	Dream 6	2	5:00	Saitama , Japan
Win	24–17–2	Takeshi Yamazaki	Decision (unanimous)	Dream 5	2	5:00	Osaka , Japan
Win	23–17–2	Darren Uyenoyama	Decision (unanimous)	Dream 4	2	5:00	Yokohama , Japan
Loss	22–17–2	Kiyoshi Tamura	Submission (kimura)	K-1 PREMIUM 2007 Dynamite!!	3	3:08	Osaka , Japan
Win	22–16–2	Wataru Inatsu	Submission (armbar)	Zst 15: Fifth Anniversary	1	1:35	Tokyo , Japan
Loss	21–16–2	Kultar Gill	TKO (punches)	Hero's 9	1	4:47	Yokohama , Japan
Win	21–15–2	Brad Pickett	Submission (armbar)	K-1 Hero's: Dynamite!! USA	1	2:41	Los Angeles, California
Win	20–15–2	Kazuya Yasuhiro	Submission (armbar)	Hero's 8	1	3:00	Nagoya , Japan
Win	19–15–2	Royler Gracie	Decision (unanimous)	K-1: Premium 2006 Dynamite!!	3	5:00	Osaka , Japan
Win	18–15–2	Ken Kaneko	Submission (armbar)	Hero's 7	1	1:50	Tokyo , Japan
Loss	17–15–2	Ivan Menjivar	Decision (majority)	Hero's 6	2	5:00	Tokyo , Japan
Loss	17–14–2	Kultar Gill	KO (knee)	Hero's 5	1	0:43	Tokyo , Japan
Win	17–13–2	Yoshinori Ikeda	Submission (triangle choke)	Hero's 4	1	0:49	Tokyo , Japan
Loss	16–13–2	Erikas Petraitis	KO (knee)	Zst 9	2	4:03	Tokyo , Japan
Draw	16–12-2	Royce Gracie	Draw	K-1: Premium 2005 Dynamite!!	2	10:00	Osaka , Japan
Win	16–12-1	Gabe Lemley	Submission (triangle choke)	K-1 World MAX 2005 Champions Challenge	1	1:12	Tokyo , Japan
Loss	15–12-1	Caol Uno	Decision (unanimous)	Hero's 3	2	5:00	Tokyo , Japan
Win	15–11-1	Alexandre Franca Nogueira	KO (spinning back fist)	Hero's 2	3	0:08	Tokyo , Japan
Win	14–11-1	Erikas Petraitis	Decision	Shooto Lithuania: Chaosas	N/A	N/A	Vilnius , Lithuania
Loss	13-11-1	Masahiro Oishi	Decision (split)	Zst: Grand Prix 2 Final Round	3	3:00	Tokyo , Japan
Loss	13–10-1	Darius Skliaudys	Decision	Shooto Lithuania: Bushido	2	5:00	Vilnius , Lithuania
Win	13–9-1	Shuichiro Katsumura	Submission (guillotine choke)	Zst: Grand Prix 2 Opening Round	1	0:38	Tokyo , Japan
Loss	12–9-1	Naoyuki Kotani	Submission (heel hook)	Zst 6	1	1:44	Tokyo , Japan
Win	12–8-1	Shinya Sato	Submission (triangle choke)	Zst: Battle Hazard 1	1	3:23	Tokyo , Japan
Win	11–8-1	Remigijus Morkevicius	Submission (triangle choke)	Zst 5	1	3:30	Tokyo , Japan
Win	10–8-1	Erikas Petraitis	Submission (rear-naked choke)	Shooto Lithuania: Vendetta	2	3:40	Vilnius , Lithuania
Loss	9–8-1	Tomomi Iwama	TKO (head kicks)	Zst: Grand Prix Final Round	1	0:53	Tokyo , Japan
