Year	Top Fuel	Funny Car	Pro Stock	Pro Stock Motorcycle
2013	Antron Brown	Johnny Gray	Allen Johnson	Hector Arana Jr
2012	Morgan Lucas	Robert Hight	Mike Edwards	Eddie Krawiec
2011	Del Worsham	Mike Neff	Jason Line	Eddie Krawiec
2010	Tony Schumacher	Tim Wilkerson	Jason Line	Eddie Krawiec
2009	Larry Dixon	Bob Tasca III	Jason Line	Hector Arana Sr
2008	Tony Schumacher	Tony Pedregon	Jeg Coughlin	Matt Guidera
2007	Tony Schumacher	Ron Capps	Greg Anderson	Karen Stoffer
2006	David Grubnic	Ron Capps	Tom Martino	Angelle Sampey
2005	Doug Kalitta	Whit Bazemore	Jason Line	Steve Johnson
2004	Tony Schumacher	Del Worsham	Greg Anderson	Andrew Hines
2003	Brandon Bernstein	Gary Densham	Kurt Johnson	Angelle Sampey
2002	Larry Dixon	Tony Pedregon	Darrell Alderman	Craig Treble
2001	Larry Dixon	John Force	Jeg Coughlin	Matt Hines
2000	Doug Kalitta	Jerry Toliver	Warren Johnson	David Schultz
1999	Mike Dunn	John Force	Warren Johnson	Angelle Sampey
1998	Kenny Bernstein	Cruz Pedregon	Warren Johnson	Matt Hines
1997	Joe Amato	Al Hoffman	Jim Yates	David Schultz
1996	Blaine Johnson	John Force	Jim Yates	Dave Schultz
