Year	Venue	Winner	Country	Score
2013	Club de Campo Villa de Madrid	Lee-Anne Pace	South Africa	275
2012	Las Americas Golf Course	Stacey Keating	Australia	279
2011	La Quinta Golf Resort	Melissa Reid	England	280
2010	Flamingos Golf Club	Laura Davies	England	202
2009	Panorámica Club de Golf	Becky Brewerton	Wales	270
2008	Panorámica Club de Golf	Emma Zackrisson	Sweden	281
2007	Club de Campo del Mediterráneo	Nikki Garrett	Australia	275
2006	Panorámica Club de Golf	Lynnette Brooky	New Zealand	275
2005	Panorámica Club de Golf	Iben Tinning	Denmark	273
2004	Club de Golf La Coruña	Stéphanie Arricau	France	279
2003	Campos de Golf de Salamanca	Federica Dassu	Italy	282
2002	Campos de Golf de Salamanca	Karine Icher	France	277
1997–2001	No tournament	No tournament	No tournament	No tournament
La Manga Spanish Open	La Manga Spanish Open	La Manga Spanish Open	La Manga Spanish Open	La Manga Spanish Open
1996	La Manga Club	Caryn Louw	South Africa	206
1995	La Manga Club	Rachel Hetherington	Australia	202
1994	La Manga Club	Marie-Laure de Lorenzi	France	282
1989–93	No tournament	No tournament	No tournament	No tournament
1988	La Manga Club	Marie-Laure Taya	France	207
1987	La Manga Club	Corinne Dibnah	Australia	276
1986	La Manga Club	Laura Davies	England	286
1985	La Manga Club	Alison Sheard	South Africa	285
1984	La Manga Club	Maxine Burton	England	286
1983	No tournament	No tournament	No tournament	No tournament
1982	Las Aves	Rosie Jones	United States	224
