Place	Player	Country	Score	To par	Money ($)
1	Lee Janzen	United States	73-66-73-68=280	E	535,000
2	Payne Stewart	United States	66-71-70-74=281	+1	315,000
3	Bob Tway	United States	68-70-73-73=284	+4	201,730
4	Nick Price	Zimbabwe	73-68-71-73=285	+5	140,597
T5	Steve Stricker	United States	73-71-69-73=286	+6	107,392
T5	Tom Lehman	United States	68-75-68-75=286	+6	107,392
T7	David Duval	United States	75-68-75-69=287	+7	83,794
T7	Lee Westwood	England	72-74-70-71=287	+7	83,794
T7	Jeff Maggert	United States	69-69-75-74=287	+7	83,794
T10	Jeff Sluman	United States	72-74-74-68=288	+8	64,490
T10	Phil Mickelson	United States	71-73-74-70=288	+8	64,490
T10	Stuart Appleby	Australia	73-74-70-71=288	+8	64,490
T10	Stewart Cink	United States	73-68-73-74=288	+8	64,490
