Week	Date	Opponent	Result	Attendance
1	September 12, 1976	at Atlanta Falcons	W 30-14	53,607
2	September 19, 1976	at Minnesota Vikings	T 10-10	47,310
3	September 26, 1976	New York Giants	W 24-10	60,698
4	October 3, 1976	at Miami Dolphins	W 31-28	60,753
5	October 11, 1976	San Francisco 49ers	L 16-0	80,532
6	October 17, 1976	Chicago Bears	W 20-12	71,751
7	October 24, 1976	at New Orleans Saints	W 16-10	51,984
8	October 31, 1976	Seattle Seahawks	W 45-6	52,035
9	November 7, 1976	at Cincinnati Bengals	L 20-12	52,480
10	November 14, 1976	St. Louis Cardinals	L 30-28	64,698
11	November 21, 1976	at San Francisco 49ers	W 23-3	58,573
12	November 28, 1976	New Orleans Saints	W 33-14	54,906
13	December 4, 1976	Atlanta Falcons	W 59-0	57,366
14	December 11, 1976	at Detroit Lions	W 20-17	73,470
