Round	Pick	Overall	Name	Position	College
1	8	8	Rob Goode	RB	Texas A&M
2	7	18	Laurie Niemi	OT	Washington State
3	7	28	Len Szafaryn	OT	North Carolina
4	7	38	Mike DeNoia	RB	Scranton [i ]
5	7	48	Ed Berrang	DE	Villanova
7	7	68	Chet Fritz	G	Missouri
8	7	78	Bob Kennedy	DB	North Carolina
9	7	88	Ed McNiel	E	Michigan
10	7	98	Vic Vasicek	LB	Texas
11	7	108	Homer Hobbs	G	Georgia
12	7	118	Harry Varner	OT	Arizona
13	7	128	Ed Henke	DE	Southern California
14	7	138	Pat Haggerty	E	William & Mary
15	7	148	Gene Frassetto	OT	California
16	7	158	Dick Flowers	OT	Alabama
17	7	168	Ross Pritchard	RB	Arkansas
18	7	178	Herb Siegert	G	Illinois
19	7	188	Bob Hainlen	RB	Colorado State
20	7	198	Oliver Fletcher	G	Southern California
21	7	208	Tommy Hughes	RB	Duke
22	7	218	Bill Clements	E	UCLA
23	7	228	Frank Pattee	RB	Kansas
24	7	238	Jim Cullom	G	California
25	7	248	Nick Sebek	QB	Indiana
