Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Brazilian Grand Prix	13 March	Jacarepaguá	Keke Rosberg	Nelson Piquet	Nelson Piquet	Brabham - BMW	Report
United States Grand Prix West	27 March	Long Beach	Patrick Tambay	Niki Lauda	John Watson	McLaren - Ford	Report
French Grand Prix	17 April	Paul Ricard	Alain Prost	Alain Prost	Alain Prost	Renault	Report
San Marino Grand Prix	1 May	Imola	René Arnoux	Riccardo Patrese	Patrick Tambay	Ferrari	Report
Monaco Grand Prix	15 May	Monaco	Alain Prost	Nelson Piquet	Keke Rosberg	Williams - Ford	Report
Belgian Grand Prix	22 May	Spa-Francorchamps	Alain Prost	Andrea de Cesaris	Alain Prost	Renault	Report
Detroit Grand Prix	5 June	Detroit	René Arnoux	John Watson	Michele Alboreto	Tyrrell - Ford	Report
Canadian Grand Prix	12 June	Circuit Gilles Villeneuve	René Arnoux	Patrick Tambay	René Arnoux	Ferrari	Report
British Grand Prix	16 July	Silverstone	René Arnoux	Alain Prost	Alain Prost	Renault	Report
German Grand Prix	7 August	Hockenheimring	Patrick Tambay	René Arnoux	René Arnoux	Ferrari	Report
Austrian Grand Prix	14 August	Österreichring	Patrick Tambay	Alain Prost	Alain Prost	Renault	Report
Dutch Grand Prix	28 August	Zandvoort	Nelson Piquet	René Arnoux	René Arnoux	Ferrari	Report
Italian Grand Prix	11 September	Monza	Riccardo Patrese	Nelson Piquet	Nelson Piquet	Brabham - BMW	Report
European Grand Prix	25 September	Brands Hatch	Elio de Angelis	Nigel Mansell	Nelson Piquet	Brabham - BMW	Report
South African Grand Prix	15 October	Kyalami	Patrick Tambay	Nelson Piquet	Riccardo Patrese	Brabham - BMW	Report
