Aircraft	1990	destroyed	damaged	to Iran	survived
France Mirage F1 EQ	76	23	6	24	23
France Mirage F1 K (Kuwaiti)	8	2	2	0	4
USSR MiG-23BN	38	17	0	4	18
USSR Su-20	18	4	2	4	8
USSR Su-22 R	10	1	0	0	9
USSR Su-22 M2	24	2	6	5	11
USSR Su-22 M3	16	7	0	9	0
USSR Su-22 M4	28	7	0	15	6
USSR Su-24 MK	30	5	0	24	1
USSR SU-25	66	31	8	7	20
USSR MiG-21 / China F7	236	65	46	0	115
USSR MiG-23 ML	39	14	1	7	17
USSR MiG-23 MF	14	2	5	0	7
USSR MiG-23 MS	15	2	4	0	9
USSR MiG-25 RB	9	3	3	0	3
USSR MiG-25 PDS	19	13	1	0	5
USSR MiG-29	37	17	4	4	12
USSR MiG-23 UM	21	8	0	1	12
USSR Tu-16	3	3	0	0	0
China Xian H-6	4	4	0	0	0
USSR AN-26	5	0	3	0	2
USSR Il-76	19	3	1	15	0
France dassault Falcon 20	2	0	0	2	0
France dassault Falcon 50	3	0	0	3	0
USA Lockheed Jetstar	6	4	0	1	1
USSR MiG-25 U	7	3	2	0	2
USSR Su-22 -UM3	25	3	1	0	21
Czechoslovakia L-39	67	0	1	0	66
Brazil Tucano	78	1	6	0	64
Switzerland FFA AS-202 Bravo	34	5	5	0	17
Eloris trainer	12	0	0	0	12
United Kingdom Jet Provost	15	0	0	0	15
BK-117	14	1	6	0	6
France Mirage F1 BQ	10	0	0	0	10
USSR MiG-29UB	4	0	0	0	4
