Year	Award	Category	Nomination	Result
2009	20th Golden Melody Awards	Best New Artist	Jam Hsiao for Jam Hsiao Self Titled Album	Nominated
2009	HITO Radio Music Awards HITO流行音樂獎	Top 10 Songs of the Year	"收藏" (Collection) from Jam Hsiao Self Titled Album	Won
2009	HITO Radio Music Awards HITO流行音樂獎	Best New Artist	Jam Hsiao	Won
2010	Metro Radio Mandarin Music Awards	Songs of the Year	"Say a lil Something"	Won
2010	Metro Radio Mandarin Music Awards	Songs of the Year	"新不了情" (New Endless Love)	Won
2010	Metro Radio Mandarin Music Awards	Male Singer (男歌手)	Jam Hsiao	Won
2010	Metro Radio Mandarin Music Awards	Asia Popular Idol (亞洲人氣偶像)	Jam Hsiao	Won
2010	21st Golden Melody Awards	Best Male Pop Vocal Performance	Jam Hsiao for Princess	Nominated
2012	23rd Golden Melody Awards	Best Male Pop Vocal Performance	Jam Hsiao for Wild dream	Nominated
2012	31st Hong Kong Golden Film Awards	Best New Actor	Jam Hsiao for Killer Who Never Kills	Won
2012	11th CCTV-MTV Awards	Best Male Singer (HK, Macau, Taiwan Regions)	Jam Hsiao	Won
2012	11th CCTV-MTV Awards	Best Music Video	Jam Hsiao for Wild dream	Won
2013	24th Golden Melody Awards	Best Male Pop Vocal Performance	Jam Hsiao for It's All About Love	Won
