Dish	Callsign	Network	Resolution	City of License	Official Website
•	XEFE	Televisa local	Analog	Nuevo Laredo	•
8	KGNS	NBC	HD 1080i	Laredo	pro8news.com
15	KGNS-DT2	The CW	SD 480i	Laredo	yourcwtv.com
16	KGNS-DT3	Telemundo	SD 480i	Laredo	telemundo.com
•	KLRN	PBS	Analog	San Antonio	klrn.org
•	K10QK-D CP	CarismaTV	SD 480i	Laredo	feypoder.com`
•	XHBR	Canal de las Estrellas	HD 1080i	Nuevo Laredo	televisa.com
12	KSAT	ABC	HD 720p	San Antonio	ksat.com
13	KVTV	CBS	HD 1080i	Laredo	cbs.com
13	KVTV	CBS	SD 480i	Laredo	cbs.com
•	KNEX	Testing	HD 1080i	Laredo	•
•	KLMV	BVB	SD 480i	Laredo	buenav.net
•	KLMV-LD2	Infomercials	SD 480i	Laredo	•
•	KLMV-LD3	Vida Vision	SD 480i	Laredo	buenav.net
•	KLMV-LD4	Televida Laredo	SD 480i	Laredo	buenav.net
•	XHLNA	Azteca 13	HD 1080i	Nuevo Laredo	tvazteca.com
•	XHLNA-TDT2	Proyecto 40	HD 1080i	Nuevo Laredo	proyecto40.com
27	KLDO	Univision	HD 1080i	Laredo	kldotv.com
•	KLDO-DT2	LATV	SD 480i	Laredo	ketftv.com
•	KLDO-DT3	Dark	SD 480i	Laredo	•
•	KETF	UniMás	SD 480i	Laredo	ketftv.com
39	KETF-CD2	Fox / MyNet	HD 720p	Laredo	myfoxlaredo.com
•	XHLAT	Azteca 7	HD 1080i	Nuevo Laredo	tvazteca.com
39	KXOF	Fox	HD 720p	Laredo	mylaredofox.com
•	KXOF-CD2	MundoFox	SD 480i	Laredo	mundofox.com
•	K40NU-D	Maranatha Church TV	SD 480i	Laredo	•
•	XHNAT	Multimedios Plus	SD 480i	Nuevo Laredo	multimedios.tv
•	XHNAT-TDT2	SMPTE color bars	SD 480i	Nuevo Laredo	multimedios.tv
•	XHNAT-TDT3	SMPTE color bars	SD 480i	Nuevo Laredo	multimedios.tv
•	XHLAR	Televisa Regional	SD 480i	Nuevo Laredo	televisa.com
