Rank	Heat	Lane	Name	Nationality
1	21	5	Jason Lezak	USA
2	22	3	Filippo Magnini	Italy
3	21	3	Pieter van den Hoogenband	Netherlands
4	22	7	Alain Bernard	France
5	20	4	Brent Hayden	Canada
5	21	4	Simon Burnett	Great Britain
7	22	6	Eamon Sullivan	Australia
8	20	1	Ryk Neethling	South Africa
9	22	5	César Cielo	Brazil
10	20	5	Stefan Nystrand	Sweden
11	22	8	Albert Subirats Altes	Venezuela
12	18	4	Dominik Meichtry	Switzerland
12	21	7	Ashley Callus	Australia
14	19	4	Mitja Zastrow	Netherlands
15	22	4	Roland Schoeman	South Africa
16	21	2	Christian Galenda	Italy
17	22	2	Evgeny Lagunov	Russia
18	17	2	Ross Davenport	Great Britain
19	17	1	Tiago Venancio	Portugal
20	21	8	Yuriy Yegoshin	Ukraine
21	20	7	Andrey Kapralov	Russia
22	20	2	Neil Walker	USA
23	18	1	Daisuke Hosokawa	Japan
24	19	3	Jakob Andkjær	Denmark
25	16	3	Cameron Gibson	New Zealand
26	19	6	Nicolas Oliveira	Brazil
27	20	3	Frédérick Bousquet	France
28	15	4	Jason Dunford	Kenya
28	16	6	Paulius Viktoravicius	Lithuania
28	20	6	CHEN Zuo	China
31	18	5	Karel Novy	Switzerland
32	19	8	Nabil Kebbab	Algeria
33	19	1	Stanislau Neviarouski	Belarus
34	20	8	Jens Schreiber	Germany
35	22	1	Rolandas Gimbutis	Lithuania
36	17	4	Yoris Grand Jean	Belgium
37	17	5	Peter Mankoč	Slovenia
38	21	6	Salim Iles	Algeria
39	21	1	Rick Say	Canada
40	18	3	Huang Shaohua	China
41	17	8	Dominik Koll	Austria
41	19	2	Matti Rajakylä	Finland
43	18	6	Takamitsu Kojima	Japan
44	19	7	Martin Verner	Czech Republic
45	14	5	Apostolos Tsagkarakis	Greece
46	18	7	Oleksandr Tsepukh	Ukraine
47	18	2	George Bovell	Trinidad and Tobago
48	19	5	Michael Schubert	Germany
49	16	7	Örn Arnarson	Iceland
50	17	6	Octavian Guţu	Romania
51	17	7	Marcus Piehl	Sweden
52	16	4	Ryan Pini	Papua New Guinea
53	15	1	Mario Delač	Croatia
54	16	1	Norbert Trandafir	Romania
55	16	2	Shai Liwnat	Israel
56	16	8	Romans Miloslavskis	Latvia
57	16	5	Octavio Alesi	Venezuela
58	15	6	Mark Herring	New Zealand
59	15	3	Martin Kutscher Belgeri	Uruguay
60	15	2	Vitaly Khan	Kazakhstan
61	13	6	Virdhawal Khade	India
62	12	4	Igor Čerenšek	Croatia
62	15	5	Gabriel Melconian	Uruguay
64	14	6	Namgyun Lim	South Korea
65	14	1	Jacinto Ayala	Dominican Republic
66	15	8	Zhirong Bryan Tay	Singapore
67	13	4	Maximiliano Schnettler	Chile
68	13	2	David Dunford	Kenya
69	14	4	Glenn Surgeloose	Belgium
70	15	7	Alaxandr Sklyar	Kazakhstan
71	12	3	Terrence Haynes	Barbados
72	14	3	Alexandre Bakhtiarov	Cyprus
73	13	8	Mohammad Bidaryan	Iran
74	13	1	Josh Laban	Virgin Islands
75	14	2	Camilo Becerra	Colombia
76	1	3	Roy-Allan Saul Burch Burch	Bermuda
77	14	8	Daniel William Bego	Malaysia
78	12	8	Ankur Poseria	India
79	14	7	Carl Probert	Fiji
80	12	7	Mario Montoya	Costa Rica
81	12	2	Martyn Forde	Barbados
82	12	5	Kai Yi Russell Ong	Singapore
83	11	8	Mikael Koloyan	Armenia
84	11	3	Jan Roodzant	Aruba
85	11	4	Petr Romashkin	Uzbekistan
86	13	5	Basil Kaaki	Lebanon
87	11	7	Nikola Ustadvich	Peru
88	11	6	Wing Cheung Victor Wong	Macau
89	12	6	Sergey Tsoy	Uzbekistan
90	18	8	Suriya Suksuphak	Thailand
91	12	1	Giancarlo Zolezzi Seoane	Chile
92	13	7	Rony Bakale	Congo
93	10	4	Andy Wibowo	Indonesia
94	9	4	Christopher Duenas	Guam
95	11	5	Jose Enmanuel Lobo Martinez	Paraguay
96	1	6	Itai Chammah	Israel
