Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 15	Senior Tournament of Champions	Puerto Rico	750000	Jim Colbert (10)	209 (-7)	148000
Feb 5	Royal Caribbean Classic	Florida	850000	J. C. Snead (2)	209 (-4)	127500
Feb 12	The IntelliNet Challenge	Florida	600000	Bob Murphy (5)	137 (-7)	90000
Feb 19	GTE Suncoast Classic	Florida	750000	Dave Stockton (10)	204 (-9)	112500
Mar 5	FHP Health Care Classic	California	750000	Bruce Devlin (1)	130 (-10)	112500
Mar 12	SBC presents The Dominion Seniors	Texas	650000	Jim Albus (5)	205 (-11)	97500
Mar 19	Toshiba Senior Classic	California	800000	George Archer (16)	199 (-11)	120000
Apr 2	The Tradition	Arizona	1000000	Jack Nicklaus (8)	276 (-12)	150000
Apr 16	PGA Seniors' Championship	Florida	1000000	Raymond Floyd (10)	277 (-11)	180000
Apr 30	Las Vegas Senior Classic	Nevada	1000000	Jim Colbert (11)	205 (-11)	150000
May 7	PaineWebber Invitational	North Carolina	800000	Bob Murphy (6)	203 (-13)	120000
May 14	Cadillac NFL Golf Classic	New Jersey	950000	George Archer (17)	205 (-11)	142500
May 21	Bell Atlantic Classic	Pennsylvania	900000	Jim Colbert (12)	207 (-3)	135000
May 28	Quicksilver Classic	Pennsylvania	1100000	Dave Stockton (11)	208 (-8)	165000
Jun 4	Bruno's Memorial Classic	Alabama	1050000	Graham Marsh (1)	201 (-15)	157500
Jun 11	BellSouth Senior Classic at Opryland	Tennessee	1100000	Jim Dent (9)	203 (-13)	165000
Jun 18	Dallas Reunion Pro-Am	Texas	550000	Tom Wargo (3)	197 (-13)	82500
Jun 25	Nationwide Championship	Georgia	1200000	Bob Murphy (7)	203 (-13)	180000
Jul 2	U.S. Senior Open	Maryland	1000000	Tom Weiskopf (2)	275 (-13)	175000
Jul 9	Kroger Senior Classic	Ohio	900000	Mike Hill (17)	196 (-17)	135000
Jul 16	Ford Senior Players Championship	Michigan	1500000	J. C. Snead (3)	272 (-16)	225000
Jul 23	First of America Classic	Michigan	700000	Jimmy Powell (3)	201 (-15)	105000
Jul 30	Ameritech Senior Open	Illinois	850000	Hale Irwin (1)	195 (-21)	127500
Aug 6	VFW Senior Championship	Missouri	900000	Bob Murphy (8)	195 (-15)	135000
Aug 13	Burnet Senior Classic	Minnesota	1100000	Raymond Floyd (11)	201 (-15)	165000
Aug 20	Northville Long Island Classic	New York	800000	Lee Trevino (25)	202 (-14)	120000
Aug 27	Bank of Boston Senior Classic	Massachusetts	800000	Isao Aoki (4)	204 (-12)	120000
Sep 3	Franklin Quest Championship	Utah	600000	Tony Jacklin (2)	206 (-10)	90000
Sep 10	GTE Northwest Classic	Washington	600000	Walter Morgan (1)	203 (-13)	90000
Sep 17	Brickyard Crossing Championship	Indiana	750000	Simon Hobday (5)	204 (-12)	112500
Sep 24	Bank One Classic	Kentucky	600000	Gary Player (18)	211 (-5)	90000
Oct 1	Vantage Championship	North Carolina	1500000	Hale Irwin (2)	199 (-17)	225000
Oct 8	The Transamerica	California	650000	Lee Trevino (26)	201 (-15)	97500
Oct 15	Raley's Senior Gold Rush	California	700000	Don Bies (7)	205 (-11)	105000
Oct 22	Ralphs Senior Classic	California	800000	John Bland (1)	201 (-12)	120000
Oct 29	Hyatt Regency Maui Kaanapali Classic	Hawaii	600000	Bob Charles (22)	204 (-9)	90000
Nov 5	Emerald Coast Classic	Florida	1000000	Raymond Floyd (12)	135 (-7)	150000
