Pick #	Player	Position	Nationality	NHL team	College/junior/club team
129	Yvon Rolando	Right Wing	Canada	New York Islanders	Drummondville Rangers (QMJHL)
130	Pierre Roy	Defence	Canada	Atlanta Flames	Quebec Remparts (QMJHL)
131	Steve Stone	Right Wing	Canada	Vancouver Canucks	Niagara Falls Flyers (OMJHL)
132	Jean Lamarre	Right Wing	Canada	Atlanta Flames	Quebec Remparts (QMJHL)
133	Bill Ennos	Right Wing	Canada	New York Islanders	Vancouver Nats (WCHL)
134	Denis Meloche	Centre	Canada	California Golden Seals	Drummondville Rangers (QMJHL)
135	Ray Boutin	Goaltender	Canada	Philadelphia Flyers	Sorel Eperviers (QMJHL)
136	Jay Babcock	Left Wing	Canada	Pittsburgh Penguins	London Knights (OMJHL)
137	Pierre Archambault	Defence	Canada	New York Rangers	Saint-Jérôme Alouettes (QMJHL)
138	George Kuzmicz	Defence	Canada	Detroit Red Wings	Cornell University (ECAC)
139	Pat Boutette	Centre	Canada	Toronto Maple Leafs	University of Minnesota Duluth (WCHA)
140	Glen Mikkelson	Right Wing	Canada	Minnesota North Stars	Brandon Wheat Kings (WCHL)
141	Gary Donaldson	Right Wing	Canada	Chicago Black Hawks	Victoria Cougars (WCHL)
142	Eddie Bumacco	Left Wing	Canada	Montreal Canadiens	University of Notre Dame (WCHA)
143	Garry Schofield	Defence	United States	Toronto Maple Leafs	Clarkson University (ECAC)
