Series #	Season #	Title	Director	Writer(s)	Airdate
564	1	" The River " – Part 1	Herb Wallerstein Category:Articles with hCards	Jack Miller Category:Articles with hCards	September 11, 1972
565	2	" The River " – Part 2	Herb Wallerstein Category:Articles with hCards	Jack Miller Category:Articles with hCards	September 18, 1972
566	3	" Bohannan "	Alf Kjellin Category:Articles with hCards	William Kelley Category:Articles with hCards	September 25, 1972
567	4	" The Judgement "	Philip Leacock Category:Articles with hCards	Shimon Wincelberg Category:Articles with hCards	October 2, 1972
568	5	" The Drummer "	Bernard McEveety Category:Articles with hCards	Richard Fielder Category:Articles with hCards	October 9, 1972
569	6	" Sarah "	Gunnar Hellström Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	October 16, 1972
570	7	" The Fugitives "	Irving J. Moore Category:Articles with hCards	Charles Joseph Category:Articles with hCards	October 23, 1972
571	8	" Eleven Dollars "	Irving J. Moore Category:Articles with hCards	Paul Savage Category:Articles with hCards	October 30, 1972
572	9	" Milligan "	Bernard McEveety Category:Articles with hCards	Ron Bishop Category:Articles with hCards	November 6, 1972
573	10	" Tatum "	Gunnar Hellström Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	November 13, 1972
574	11	" The Sodbusters "	Robert Butler Category:Articles with hCards	Ron Bishop Category:Articles with hCards	November 20, 1972
575	12	" The Brothers "	Gunnar Hellström Category:Articles with hCards	Clavin Clements Category:Articles with hCards	November 27, 1972
576	13	" Hostage! "	Gunnar Hellström Category:Articles with hCards	Paul F. Edwards Category:Articles with hCards	December 11, 1972
577	14	" Jubilee "	Herb Wallerstein Category:Articles with hCards	Jack Freeman Category:Articles with hCards	December 18, 1972
578	15	" Arizona Midnight "	Irving J. Moore Category:Articles with hCards	Dudley Bromley Category:Articles with hCards	January 1, 1973
579	16	" Homecoming "	Gunnar Hellström Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	January 8, 1973
580	17	" Shadler "	Arnold Laven Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	January 15, 1973
581	18	" Patricia "	Alf Kjellin Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	January 22, 1973
582	19	" Quiet Day in Dodge "	Alf Kjellin Category:Articles with hCards	Jack Miller Category:Articles with hCards	January 29, 1973
583	20	" Whelan's Men "	Paul F. Edwards Category:Articles with hCards	Ron Bishop Category:Articles with hCards	February 5, 1973
584	21	" Kimbro "	Gunnar Hellström Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	February 12, 1973
585	22	" Jesse "	Bernard McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	February 19, 1973
586	23	" Talbot "	Vincent McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	February 26, 1973
