Date and time( UTC )	Type	Serial no.	Launch site	Payload	Type of payload	Orbit	Outcome
August 21, 2002, 22:05	401	AV-001	CCAFS SLC-41	Hot Bird 6	Commercial communications satellite	GSO	Success
May 13, 2003, 22:10	401	AV-002	CCAFS SLC-41	Hellas Sat 2	Commercial communications satellite	GSO	Success
July 17, 2003, 23:45	521	AV-003	CCAFS SLC-41	Rainbow1	Commercial communications satellite	GSO	Success
December 17, 2004, 12:07	521	AV-005	CCAFS SLC-41	AMC16	Commercial communications satellite	GSO	Success
March 11, 2005, 21:42	431	AV-004	CCAFS SLC-41	Inmarsat4-F1	Commercial communications satellite	GSO	Success
August 12, 2005, 11:43	401	AV-007	CCAFS SLC-41	Mars Reconnaissance Orbiter	Mars orbiter	Hyperbolic to Areocentric	Success
January 19, 2006, 19:00	551	AV-010	CCAFS SLC-41	New Horizons	Pluto and Kuiper Belt probe	Hyperbolic	Success
April 20, 2006, 20:27	411	AV-008	CCAFS SLC-41	Astra 1KR	Commercial communications satellite	GSO	Success
March 8, 2007, 03:10	401	AV-013	CCAFS SLC-41	Space Test Program -1	6 military research satellites	LEO	Success
June 15, 2007, 15:11	401	AV-009	CCAFS SLC-41	USA-194 (NRO L-30/ NOSS -4-3A & B)	Two NRO s Reconnaissance satellite	LEO	Partial launch failure (Lower than intended orbit)
October 11, 2007, 00:22	421	AV-011	CCAFS SLC-41	USA-195 ( WGS SV-1)	Military communications satellite	GTO	Success
December 10, 2007, 22:05	401	AV-015	CCAFS SLC-41	USA-198 ( NRO L-24 )	NRO reconnaissance satellite	Molniya	Success
March 13, 2008, 10:02	411	AV-006	VAFB SLC-3E	USA-200 (NRO L-28)	NRO reconnaissance satellite	Molniya	Success
April 14, 2008, 20:12	421	AV-014	CCAFS SLC-41	ICO G1	Commercial communications satellite	GTO	Success
April 4, 2009, 00:31	421	AV-016	CCAFS SLC-41	USA-204 (WGS SV2)	Military communications satellite	GTO	Success
June 18, 2009, 21:32	401	AV-020	CCAFS SLC-41	LRO/LCROSS	Lunar exploration	HEO to Lunar	Success
September 8, 2009, 21:35	401	AV-018	CCAFS SLC-41	USA-207 ( PAN )	Military communications satellite	GTO	Success
October 18, 2009, 16:12	401	AV-017	VAFB SLC-3E	USA-210 ( DMSP 5D3-F18 )	Military weather satellite	LEO	Success
November 23, 2009, 06:55	431	AV-024	CCAFS SLC-41	Intelsat 14	Commercial communications satellite	GTO	Success
February 11, 2010, 15:23	401	AV-021	CCAFS SLC-41	SDO	Solar Observatory	GTO	Success
April 22, 2010, 23:52	501	AV-012	CCAFS SLC-41	USA-212 (X-37B OTV-1)	Military orbital test vehicle	LEO	Success
August 14, 2010, 11:07	531	AV-019	CCAFS SLC-41	USA-214 ( AEHF-1 )	Military communications satellite	GTO	Success
September 21, 2010, 04:03	501	AV-025	VAFB SLC-3E	USA-215 (NRO L-41)	NRO reconnaissance satellite	LEO	Success
March 5, 2011, 22:46	501	AV-026	CCAFS SLC-41	USA-226 (X-37B OTV-2)	Military orbital test vehicle	LEO	Success
April 15, 2011, 04:24	411	AV-027	VAFB SLC-3E	USA-229 (NRO L-34)	NRO reconnaissance satellite	LEO	Success
May 7, 2011, 18:10	401	AV-022	CCAFS SLC-41	USA-230 (SBIRS-GEO-1)	Missile Warning satellite	GTO	Success
August 5, 2011, 16:25	551	AV-029	CCAFS SLC-41	Juno	Jupiter orbiter	Hyperbolic to Jovicentric	Success
November 26, 2011, 15:02	541	AV-028	CCAFS SLC-41	Mars Science Laboratory	Mars rover	Hyperbolic (Mars landing)	Success
February 24, 2012, 22:15	551	AV-030	CCAFS SLC-41	MUOS-1	Military communications satellite	GTO	Success
May 4, 2012, 18:42	531	AV-031	CCAFS SLC-41	USA-235 ( AEHF-2 )	Military communications satellite	GTO	Success
June 20, 2012, 12:28	401	AV-023	CCAFS SLC-41	USA-236 (NROL-38)	NRO reconnaissance satellite	GEO	Success
August 30, 2012, 08:05	401	AV-032	CCAFS SLC-41	Van Allen Probes (RBSP)	Van Allen Belts exploration	MEO	Success
September 13, 2012, 21:39	401	AV-033	VAFB SLC-3E	USA-238 (NROL-36)	NRO reconnaissance satellites	LEO	Success
December 11, 2012, 18:03	501	AV-034	CCAFS SLC-41	USA-240 (X-37B OTV-3)	Military orbital test vehicle	LEO	Success
January 31, 2013, 01:48	401	AV-036	CCAFS SLC-41	TDRS-11 (TDRS-K)	Data relay satellite	GTO	Success
February 11, 2013, 18:02	401	AV-035	VAFB SLC-3E	Landsat 8	Earth Observation satellite	LEO	Success
March 19, 2013, 21:21	401	AV-037	CCAFS SLC-41	USA-241 ( SBIRS-GEO 2 )	Missile Warning satellite	GTO	Success
May 15, 2013, 21:38	401	AV-039	CCAFS SLC-41	USA-242 ( GPS IIF-4 )	Navigation satellite	MEO	Success
July 19, 2013, 13:00	551	AV-040	CCAFS SLC-41	MUOS-2	Military Communications satellite	GTO	Success
September 18, 2013, 08:10	531	AV-041	CCAFS SLC-41	USA-246 (AEHF-3)	Military communications satellite	GTO	Success
