Rider	Bike	Laps	Time	Grid
Andrew Pitt	Honda CBR600RR	21	36:10.751	9
Jonathan Rea	Honda CBR600RR	21	+0.014	2
Joan Lascorz	Honda CBR600RR	21	+0.150	5
Fabien Foret	Yamaha YZF-R6	21	+0.201	4
Broc Parkes	Yamaha YZF-R6	21	+0.283	1
Josh Brookes	Honda CBR600RR	21	+0.447	7
Barry Veneman	Suzuki GSX-R600	21	+2.050	8
Gianluca Vizziello	Honda CBR600RR	21	+2.346	14
Craig Jones	Honda CBR600RR	21	+2.714	3
Mathieu Lagrive	Honda CBR600RR	21	+3.073	16
Mark Aitchinson	Triumph 675	21	+4.070	22
Chris Walker	Kawasaki ZX-6R	21	+4.863	20
Robbin Harms	Honda CBR600RR	21	+5.088	17
Ivan Clementi	Triumph 675	21	+16.644	6
Ilario Dionisi	Triumph 675	21	+21.630	19
David Salom	Yamaha YZF-R6	21	+27.619	13
Miguel Praia	Honda CBR600RR	21	+27.773	24
Vesa Kallio	Honda CBR600RR	21	+27.898	21
Graeme Gowland	Honda CBR600RR	21	+39.320	27
Mirko Giansanti	Honda CBR600RR	21	+39.321	28
Kev Coghlan	Honda CBR600RR	21	+41.111	32
Danilo dell'Omo	Honda CBR600RR	21	+46.341	26
Lorenzo Alfonsi	Honda CBR600RR	21	+48.878	29
Rik van Steenberngeedn	Honda CBR600RR	21	+56.714	35
Santiago Barragan	Honda CBR600RR	21	+57.194	34
Jan Uitterdijk	Yamaha YZF-R6	21	+1:07.115	31
William de Angelis	Honda CBR600RR	21	+1:08.851	30
Didier van Keymeulen	Suzuki GSX-R600	19	Retirement	23
Gianluca Nannelli	Honda CBR600RR	16	Retirement	11
Katsuaki Fujiwara	Kawasaki ZX-6R	14	Retirement	18
Gregory Leblanc	Honda CBR600RR	12	Retirement	25
Garry McCoy	Triumph 675	12	Retirement	15
Luka Nedog	Honda CBR600RR	11	Retirement	33
Ángel Rodríguez	Yamaha YZF-R6	8	Accident	12
Massimo Roccoli	Yamaha YZF-R6	1	Accident	10
Arnaud Vincent	Kawasaki ZX-6R	0	Accident	36
