Network	Origin of Programming	Language	Genre	Service
Asianet	India	Malayalam	General	StarHub
Channel [V] India	India	Hindi	Music	StarHub
Channel i	Bangladesh	Bengali	General	StarHub
Colors	India	Hindi	General	StarHub
SET Max	India	Hindi	Movies	StarHub
Sony Entertainment Television Asia	India	Hindi	General	StarHub
STAR Cricket	India	English	Cricket	StarHub
STAR Cricket HD	India	English	Cricket	StarHub
STAR Gold	India	Hindi	Movies	StarHub
STAR Plus	India	Hindi	General	StarHub
Sun Music	India	Tamil	Music	StarHub
Sun TV	India	Tamil	General	StarHub
TEN Cricket	India	English	Cricket	StarHub
Vannathirai	Singapore	Tamil	Movies	StarHub
Vijay	India	Tamil	General	StarHub
Zee Cinema	India	Hindi	Movies	StarHub
Zee News	India	Hindi	News	StarHub
Zee TV	India	Hindi	General	StarHub
