Hull No.	Year	Project	Length overall in meters (without bowsprit)	Name	Destination
1	1978	Aegean - 53	16.00	Bebek	Turkey
2	1988	M/S/Y	21.00	Atlas I	Turkey
3	1988	M/S/Y	21.00	Atlas II	Turkey
4	1988	M/S/Y	19.00	Zorba	Portugal
5	1989	M/S/Y	21.00	Azura	Greece
6	1989	Aegean - 74	21.00	Argo	Croatia
7	1991	Aegean - 74	23.00	Savruga	Djibouti
8	1991	Aegean - 74	23.00	Beluga	England
9	1991	Aegean - 82	26.00	Nobile	Malta
10	1992	Aegean - 72G	22.00	Farilya	Croatia
11	1993	Aegean - 111G	34.00	Magic Life	Australia
12	1993	M/S/Y	20.00	Dilara-I	Gibraltar
13	1994	M/S/Y	24.00	Elegante	England
14	1995	Aegean - 82	25.00	Levante	Maldives
15	1995	Aegean - 82	25.00	Salute	Maldives
16	1996	Aegean - 82	26.00	Biga	Italy
17	1996	Aegean - 65	20.00	Kalyeta	Italy
18	1998	Aegean - 108G	33.00	Aegina (renamed “Gem”)	England
19	1998	Aegean - 108G	33.00	Boreas (renamed “Boreas of Katharina”)	Yemen
20	1999	Aegean - 89G	27.00	Aniletta	Italy
21	1999	Aegean - 89G	27.00	Barketta (renamed “Alisa”)	Croatia
22	1999	Aegean - 95G	29.00	Dream Voyager	Maldives
23	2002	Aegean - 72G	22.00	Escapade	France
24	2002	Aegean - 148G	45.00	Grand Magic	UAE
25	2002	Aegean - 67MY	20.50	Xanax	Germany
26	2003	Aegean - 78MS	23.90	Myra	Italy
27	2003	Aegean - 78MS	23.90	Plava Zvijezda (“Blue Star”)	Croatia
28	2003	Aegean - 78MS	23.90	Keyif	Djibouti
29	2005	Aegean - 105MY	32.00	Amazon-A	Turkey
30	2004	Aegean - 85MS	25.80	Theocara II	Malta
31	2005	Aegean - 128 G	39.00	Sea Dream	Turkey
32	2005	Aegean - 90G	27.50	Santa Maria	Bulgaria
33	2005	Aegean - 87SY	26.60	Spirit of the East	England
34	2005	Aegean - 74MS	22.50	Luopan	England
35	2006	Aegean - 74MS	22.50	Araminta	Turkey
36	2006	Aegean - 74MS	22.50	Faye	UAE
37	2006	Aegean - 112MY	34.00	La Sultane	England
38	2007	Aegean - 164G	50.00	Galileo	Russia
39	2007	Aegean - 115SY	35.00	Kairos	Germany
40	2009	Aegean - 164G	50.00	Montigne	UNDER CONSTRUCTION
41	2008	Aegean - 24M	24.00	Rosa	Turkey
42	2008	Aegean - 24M	24.00	Diva	UNDER CONSTRUCTION
