Rank (2012)	IATA Code	Major City Served	State	2012	2011	2010	2009	2008	2007	2006	2005
1	ATL	Atlanta	GA	45,798,809	44,414,121	43,130,585	42,280,868	43,236,665	43,236,665	41,352,038	42,402,653
2	ORD	Chicago	IL	32,171,743	31,892,301	32,171,831	31,135,732	33,683,991	36,521,585	36,825,097	36,720,005
3	LAX	Los Angeles	CA	31,326,268	30,528,737	28,857,755	27,439,897	28,861,477	30,113,985	29,357,327	29,372,272
4	MIA	Miami	FL	30,227,003	28,987,488	28,342,158	27,017,654	26,187,768	26,369,998	26,377,488	25,664,791
5	DFW	Dallas / Fort Worth	TX	28,022,877	27,518,358	27,100,656	26,663,984	27,219,985	28,482,417	28,627,749	28,079,147
6	DEN	Denver	CO	25,799,832	25,667,499	25,241,962	24,013,669	24,287,939	20,796,173	20,591,909	20,315,544
7	JFK	New York	NY	24,520,943	23,664,830	22,934,047	22,710,272	23,620,948	23,401,351	21,071,501	20,260,359
8	SFO	San Francisco	CA	21,284,224	20,038,679	19,359,003	18,467,908	18,135,827	17,280,328	16,236,592	16,070,133
9	CLT	Charlotte	NC	20,032,426	19,022,535	18,629,181	18,165,476	19,291,428	16,884,780	14,949,568	14,109,608
10	LAS	Las Vegas	NV	19,941,173	19,854,759	18,996,738	19,445,952	21,024,443	22,537,950	22,028,521	21,402,676
11	PHX	Phoenix	AZ	19,556,189	19,750,306	18,907,171	18,559,647	19,450,576	20,767,144	20,479,291	19,032,196
12	IAH	Houston	TX	19,038,958	19,306,660	19,528,631	19,290,239	20,030,898	24,117,623	22,822,111	20,799,886
13	MCO	Orlando	FL	17,159,425	17,250,415	17,017,491	16,371,016	17,288,480	17,614,679	16,807,856	16,592,133
14	EWR	New York	NJ	17,035,098	16,814,092	16,571,754	16,659,441	17,599,578	18,163,652	17,804,107	16,444,959
15	SEA	Seattle	WA	16,121,123	15,971,676	15,406,243	15,273,092	15,839,504	15,419,116	14,703,928	14,359,530
16	MSP	Minneapolis / St. Paul	MN	15,943,751	15,895,653	15,512,487	15,551,206	16,369,324	16,962,563	17,192,410	17,971,771
17	DTW	Detroit	MI	15,599,877	15,716,865	15,643,890	15,211,402	16,998,174	17,495,135	17,483,468	17,580,363
18	PHL	Philadelphia	PA	14,587,631	14,883,180	14,951,254	15,002,961	15,586,852	15,656,653	15,390,848	15,376,569
19	BOS	Boston	MA	14,293,675	14,171,476	13,561,814	12,566,797	12,820,489	13,783,297	13,544,552	13,214,923
20	LGA	New York	NY	12,818,717	11,989,227	12,001,501	11,084,300	11,567,586	12,529,890	12,925,697	13,014,314
21	FLL	Fort Lauderdale	FL	11,445,101	11,332,466	10,829,810	10,258,118	11,020,091	11,079,250	10,204,579	10,729,468
22	BWI	Baltimore / Washington, DC	MD	11,183,965	11,067,317	10,848,633	10,338,950	10,215,225	10,487,789	10,297,607	9,829,432
23	IAD	Washington, DC	VA	10,785,683	11,043,829	11,276,481	11,132,098	11,348,775	11,789,441	11,045,217	13,032,502
24	SLC	Salt Lake City	UT	9,579,836	9,701,756	9,910,493	9,903,821	9,993,198	10,560,906	10,289,129	10,601,918
25	DCA	Washington, DC	VA	9,462,206	9,053,004	8,736,804	8,490,288	8,704,466	9,038,174	8,973,410	8,623,907
26	MDW	Chicago	IL	9,431,796	9,134,576	8,518,957	8,253,620	8,021,383	9,132,836	8,915,292	8,383,698
27	HNL	Honolulu	HI	9,210,270	8,643,494	8,740,077	8,739,389	9,013,440	10,393,929	9,855,838	9,784,404
28	SAN	San Diego	CA	8,686,592	8,465,683	8,430,509	8,453,854	9,007,617	9,138,116	8,724,442	8,628,648
29	TPA	Tampa	FL	8,216,153	8,174,194	8,137,222	8,263,294	8,871,917	9,306,036	9,187,865	9,297,643
