Name	Date of Birth	Height	Weight	Spike	Block
Hubert Henno	06.10.1976	188	83	330	310
Dominique Daquin	10.11.1972	197	85	352	325
Stéphane Antiga	03.02.1976	200	94	344	321
Laurent Capet	05.05.1972	202	92	350	325
Frantz Granvorka	10.03.1976	195	90	364	327
Vincent Montméat	01.09.1977	196	88	348	330
Loïc De Kergret	20.08.1970	193	89	335	315
Philippe Barça-Cysique	22.04.1977	194	88	347	325
Guillaume Samica	28.09.1981	196	82	343	318
Mathias Patin	25.04.1974	185	73	325	315
Oliver Kieffer	27.08.1979	200	85	355	335
Sébastien Frangolacci	31.03.1976	192	88	340	322
