Tie no	Home team	Score	Away team	Date
1	Chester	0–1	Hartlepools United	22 November 1952
2	Chesterfield	1–0	Workington	22 November 1952
3	Darlington	2–3	Grimsby Town	22 November 1952
4	Bath City	3–1	Southend United	22 November 1952
5	Tonbridge	2–2	Norwich City	22 November 1952
Replay	Norwich City	1–0	Tonbridge	27 November 1952
6	Weymouth	1–1	Colchester United	22 November 1952
Replay	Colchester United	4–0	Weymouth	27 November 1952
7	Yeovil Town	1–4	Brighton & Hove Albion	22 November 1952
8	Leyton	0–0	Hereford United	22 November 1952
Replay	Hereford United	3–2	Leyton	27 November 1952
9	Gainsborough Trinity	1–1	Netherfield (Kendal)	22 November 1952
Replay	Netherfield (Kendal)	0–3	Gainsborough Trinity	27 November 1952
10	Swindon Town	5–0	Newport (IOW)	22 November 1952
11	Scarborough	0–8	Mansfield Town	22 November 1952
12	Ipswich Town	2–2	Bournemouth	22 November 1952
Replay	Bournemouth	2–2	Ipswich Town	26 November 1952
Replay	Ipswich Town	3–2	Bournemouth	1 December 1952
13	Tranmere Rovers	8–1	Ashington	22 November 1952
14	Wellington Town	1–1	Gillingham	22 November 1952
Replay	Gillingham	3–0	Wellington Town	26 November 1952
15	Kidderminster Harriers	0–1	Finchley	22 November 1952
16	Queens Park Rangers	2–2	Shrewsbury Town	22 November 1952
Replay	Shrewsbury Town	2–2	Queens Park Rangers	27 November 1952
Replay	Queens Park Rangers	1–4	Shrewsbury Town	1 December 1952
17	Leytonstone	0–2	Watford	22 November 1952
18	Coventry City	2–0	Bristol City	22 November 1952
19	Bradford City	4–0	Rhyl	22 November 1952
20	Crystal Palace	1–1	Reading	22 November 1952
Replay	Reading	1–3	Crystal Palace	26 November 1952
21	Bradford Park Avenue	2–1	Rochdale	22 November 1952
22	Scunthorpe United	1–0	Carlisle United	22 November 1952
23	Grays Athletic	0–5	Llanelli	22 November 1952
24	Port Vale	2–1	Exeter City	22 November 1952
25	Halifax Town	1–1	Ashton United	22 November 1952
Replay	Ashton United	1–2	Halifax Town	25 November 1952
26	Newport County	2–1	Walsall	22 November 1952
27	Southport	3–1	Bangor City	22 November 1952
28	Selby Town	1–5	Bishop Auckland	22 November 1952
29	Walthamstow Avenue	2–2	Wimbledon	22 November 1952
Replay	Wimbledon	0–3	Walthamstow Avenue	26 November 1952
30	York City	1–2	Barrow	22 November 1952
31	Aldershot	0–0	Millwall	22 November 1952
Replay	Millwall	7–1	Aldershot	27 November 1952
32	Guildford City	2–2	Great Yarmouth Town	22 November 1952
Replay	Great Yarmouth Town	1–0	Guildford City	27 November 1952
33	Horden CW	1–2	Accrington Stanley	22 November 1952
34	Gateshead	2–0	Crewe Alexandra	22 November 1952
35	North Shields	3–6	Stockport County	22 November 1952
36	Boston United	1–2	Oldham Athletic	22 November 1952
37	Peterborough United	2–1	Torquay United	22 November 1952
38	Leyton Orient	1–1	Bristol Rovers	22 November 1952
Replay	Bristol Rovers	1–0	Leyton Orient	24 November 1952
39	Hendon	0–0	Northampton Town	22 November 1952
Replay	Northampton Town	2–0	Hendon	27 November 1952
40	Beighton Miners Welfare	0–3	Wrexham	22 November 1952
