Place	Player	Country	Score	To par	Money ( $ )
1	Mark Brooks	United States	68-70-69-70=277	–11	430,000
2	Kenny Perry	United States	66-72-71-68=277	–11	260,000
T3	Steve Elkington	Australia	67-74-67-70=278	–10	140,000
T3	Tommy Tolles	United States	69-71-71-67=278	–10	140,000
T5	Justin Leonard	United States	71-66-72-70=279	–9	86,667
T5	Jesper Parnevik	Sweden	73-67-69-70=279	–9	86,667
T5	Vijay Singh	Fiji	69-69-69-72=279	–9	86,667
T8	Lee Janzen	United States	68-71-71-70=280	–8	57,500
T8	Per-Ulrik Johansson	Sweden	73-72-66-69=280	–8	57,500
T8	Phil Mickelson	United States	67-67-74-72=280	–8	57,500
T8	Larry Mize	United States	71-70-69-70=280	–8	57,500
T8	Frank Nobilo	New Zealand	69-72-71-68=280	–8	57,500
T8	Nick Price	Zimbabwe	68-71-69-72=280	–8	57,500
