Week	Date	Opponent	Result	Attendance
1	September 11, 2004	at Miami Dolphins	W 17–7	69,987
2	September 19, 2004	Indianapolis Colts	L 17-31	68,932
3	September 26, 2004	Jacksonville Jaguars	L 12-15	68,932
4	October 3, 2004	at San Diego Chargers	L 17-38	54,006
5	October 11, 2004	at Green Bay Packers	W 48–27	70,420
6	October 17, 2004	Houston Texans	L 10-20	68,932
7	October 24, 2004	at Minnesota Vikings	L 3-20	64,108
8	October 31, 2004	Cincinnati Bengals	W 27–20	68,932
9	Bye	Bye	Bye	Bye
10	November 14, 2004	Chicago Bears	L 17-19	68,932
11	November 21, 2004	at Jacksonville Jaguars	W 18–15	69,703
12	November 28, 2004	at Houston Texans	L 21-31	70,721
13	December 5, 2004	at Indianapolis Colts	L 24-51	57,278
14	December 13, 2004	Kansas City Chiefs	L 38-49	68,932
15	December 19, 2004	at Oakland Raiders	L 35-40	44,299
16	December 25, 2004	Denver Broncos	L 16-37	68,809
17	January 2, 2005	Detroit Lions	W 24–19	68,809
