Date	Opponent	Score	Loss	Record
May 1	@ White Sox	4 - 3 (10)	Speier (1-3)	7-16
May 1	@ White Sox	10 - 6	Wright (0-4)	8-16
May 2	@ White Sox	3 - 2	Batista (0-3)	8-17
May 3	Royals	3 - 2 (10)	Adams (2-1)	8-18
May 4	Royals	5 - 4	May (0-4)	9-18
May 5	Royals	10 - 3	Anderson (1-3)	10-18
May 7	White Sox	5 - 4	Politte (0-1)	11-18
May 8	White Sox	4 - 2	Cotts (0-1)	12-18
May 9	White Sox	5 - 2	Loaiza (4-2)	13-18
May 10	@ Royals	9 - 3	Anderson (1-4)	14-18
May 11	@ Royals	5 - 1	Halladay (3-4)	14-19
May 12	@ Royals	4 - 3	Adams (3-2)	14-20
May 13	Red Sox	12 - 6	Schilling (4-3)	15-20
May 14	Red Sox	9 - 3	Ligtenberg (1-1)	15-21
May 15	Red Sox	4 - 0	Hentgen (2-3)	15-22
May 16	Red Sox	3 - 1	Martínez (4-3)	16-22
May 17	Twins	9 - 5	Nakamura (0-2)	16-23
May 18	Twins	5 - 3	Santana (2-1)	17-23
May 19	Twins	6 - 5	Adams (3-3)	17-24
May 21	@ Red Sox	11 - 5	Nakamura (0-3)	17-25
May 22	@ Red Sox	5 - 2	Ligtenberg (1-2)	17-26
May 23	@ Red Sox	7 - 2	Batista (2-4)	17-27
May 24	Angels	6 - 5 (10)	Weber (0-2)	18-27
May 26	Angels	6 - 5	Percival (2-1)	19-27
May 27	Angels	3 - 2	Washburn (7-2)	20-27
May 28	Rangers	5 - 4	Dickey (4-5)	21-27
May 29	Rangers	6 - 2	Dominguez (0-1)	22-27
May 30	Rangers	4 - 2	Miller (1-1)	22-28
May 31	@ Mariners	6 - 2	Hentgen (2-4)	22-29
