Urban area (locality)	Population	Land area (hectares)	Density (inh./km²)	Code
Abbekås	729	90.60	804.64	3300
Abborrberget	2141	137.56	1556.41	0699
Agunnaryd	220	40.43	544.15	1802
Alberga	395	41.93	942.05	0700
Alby	367	123.60	296.93	7400
Alfta	2155	343.48	627.40	7000
Algutsrum	532	57.27	928.93	2092
Alingsås	24482	1235.23	1981.98	4700
Allerum	716	77.94	918.66	3304
Almunge	813	84.54	961.67	0500
Alsike	2681	238.26	1125.24	0504
Alstad	237	23.15	1023.76	3308
Alster	586	83.88	698.62	5596
Alsterbro	422	87.95	479.82	2100
Alstermo	829	156.08	531.14	1804
Alunda	2317	228.34	1014.71	0508
Alvesta	8017	610.32	1313.57	1808
Alvhem	202	20.54	983.45	4704
Alvik	227	88.02	257.90	6402
Alvik	777	166.56	466.50	8504
Ambjörby	227	148.11	153.26	5600
Ambjörnarp	270	85.63	315.31	4708
Ammenäs	544	150.11	362.40	4296
Andalen	2188	158.31	1382.10	4550
Anderslöv	1808	102.69	1760.64	3312
Anderstorp	4965	561.34	884.49	1400
Aneby	3367	336.75	999.85	1404
Angelstad	271	48.18	562.47	1812
Angered	950	159.54	595.46	4294
Ankarsrum	1254	165.97	755.56	2104
Ankarsvik	944	169.32	557.52	7408
Anneberg	1469	112.63	1304.27	3900
Anneberg	833	97.84	851.39	1408
Annelund	519	76.77	676.05	4712
Annelöv	380	32.79	1158.89	3316
Antnäs	822	89.76	915.78	8508
Aplared	465	55.45	838.59	4716
Arboga	10330	949.77	1087.63	6200
Arbrå	2215	394.22	561.87	7004
Ardala	725	52.76	1374.15	5200
Arentorp	472	57.52	820.58	5204
Arild	522	145.47	358.84	3320
Arjeplog	1977	229.18	862.64	8512
Arkelstorp	768	107.63	713.56	2800
Arnäsvall	341	83.43	408.73	7412
Arnö	3871	210.05	1842.89	0702
Arontorp	233	37.03	629.22	2106
Arvidsjaur	4635	466.90	992.72	8516
Arvika	14244	1061.81	1341.48	5604
Aröd och Timmervik	637	147.78	431.05	5070
Askeby	518	49.17	1053.49	1004
Askersby	243	52.95	458.92	5900
Askersund	3887	278.02	1398.10	5904
Asmundtorp	1562	100.15	1559.66	3328
Asperö	402	32.69	1229.73	4298
Aspås	375	62.09	603.96	7800
Avan	200	64.55	309.84	8524
Avesta	14506	1391.02	1042.83	6404
Axvall	1186	110.30	1075.25	5208
Backa	1547	141.02	1097.01	3904
Backaryd	365	66.94	545.26	2600
Backberg	244	85.78	284.45	7012
Backe	599	126.21	474.61	7804
Baggetorp	502	84.40	594.79	0704
Ballingslöv	310	58.20	532.65	2804
Balsby	430	39.11	1099.46	2808
Bammarboda	249	79.19	314.43	0102
Bankekind	405	29.77	1360.43	1008
Bankeryd	8107	539.40	1502.97	1412
Bara	3444	163.93	2100.90	3332
Barkarö	1163	85.15	1365.83	6204
Barsebäck	524	44.21	1185.25	3336
Barsebäckshamn	438	38.04	1151.42	3337
Bastuträsk	392	109.33	358.55	8112
Beddingestrand	678	100.95	671.62	3338
Benareby	384	65.52	586.08	4290
Bengtsfors	3080	326.90	942.18	4720
Bengtsheden	530	150.49	352.18	6412
Bensbyn	448	49.90	897.80	8528
Berg	213	50.45	422.20	7014
Berg	1278	109.36	1168.62	1016
Berg	311	53.56	580.66	1012
Berga	724	154.10	469.82	2108
Bergagård	250	30.91	808.80	3908
Bergby	816	188.80	432.20	7016
Bergeforsen	1563	198.26	788.36	7416
Berghem	360	79.13	454.95	4724
Bergkvara	940	152.00	618.42	2112
Bergnäset	3648	309.40	1179.06	8532
Bergsbyn	1780	137.75	1292.20	8116
Bergshammar	790	61.73	1279.77	0708
Bergshamra	749	159.76	468.83	0100
Bergsjö	1266	165.27	766.02	7020
Bergströmshusen	209	13.22	1580.94	2814
Bergsviken	2283	264.64	862.68	8536
Bergvik	834	200.40	416.17	7024
Bestorp	475	53.35	890.35	1020
Bettna	412	99.26	415.07	0712
Bie	528	61.52	858.26	0716
Billdal	10289	1013.85	1014.84	4300
Billeberga	987	106.13	929.99	3340
Billesholm	2910	290.72	1000.96	3344
Billinge	415	58.99	703.51	3348
Billingsfors	1134	231.51	489.83	4728
Billsta	361	107.10	337.07	7420
Bjurholm	968	171.62	564.04	8120
Bjursås	1839	324.78	566.23	6424
Bjuv	6832	544.23	1255.35	3352
Bjärnum	2674	363.80	735.02	2816
Bjärred	9542	479.10	1991.65	3356
Bjärsjölagård	324	52.22	620.45	3360
Bjästa	1808	204.90	882.38	7424
Björbo	697	183.77	379.28	6428
Björboholm	963	180.93	532.25	4732
Björke	349	59.93	582.35	7028
