Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	Portland	W 110–98 (OT)	Luol Deng (40)	Joakim Noah (10)	Derrick Rose (13)	United Center 21,057	2–1
4	November 4	New York	L 112–120 (OT)	Derrick Rose (24)	Joakim Noah (13)	Derrick Rose (14)	United Center 21,203	2–2
5	November 5	@ Boston	L 105–110 (OT)	Joakim Noah (26)	Joakim Noah (12)	Derrick Rose (9)	TD Garden 18,624	2–3
6	November 8	Denver	W 94–92 (OT)	Derrick Rose (18)	Joakim Noah (19)	Derrick Rose (6)	United Center 21,355	3–3
7	November 11	Golden State	W 120–90 (OT)	Luol Deng (26)	Luol Deng (11)	Derrick Rose (13)	United Center 21,140	4–3
8	November 13	Washington	W 103–96 (OT)	Derrick Rose (24)	Luol Deng (9)	Derrick Rose (8)	United Center 21,610	5–3
9	November 16	@ Houston	W 95–92 (OT)	Derrick Rose (33)	Luol Deng (10)	Derrick Rose (7)	Toyota Center 18,158	6–3
10	November 17	@ San Antonio	L 94–103 (OT)	Derrick Rose (33)	Joakim Noah (14)	Derrick Rose (4)	AT&T Center 18,581	6–4
11	November 19	@ Dallas	W 88–83 (OT)	Derrick Rose (22)	Taj Gibson (18)	Derrick Rose (6)	American Airlines Center 20,133	7–4
12	November 23	@ L.A. Lakers	L 91–98 (OT)	Derrick Rose (30)	Joakim Noah (13)	Derrick Rose (8)	Staples Center 18,997	7–5
13	November 24	@ Phoenix	W 123–115 (2OT)	Derrick Rose (35)	Joakim Noah (15)	Derrick Rose (7)	US Airways Center 18,422	8–5
14	November 26	@ Denver	L 97–98 (OT)	C. J. Watson (33)	Joakim Noah (16)	Joakim Noah (4)	Pepsi Center 19,155	8–6
