Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 7, 1962	San Diego Chargers	W 30–21	University of Denver Stadium	1–0	28,000
2	September 15, 1962	at Buffalo Bills	W 23–20	War Memorial Stadium	2–0	30,577
3	September 21, 1962	Boston Patriots	L 16–41	Boston University Field	2–1	21,038
4	September 30, 1962	at New York Titans	W 32–10	Polo Grounds	3–1	17,213
5	October 5, 1962	Oakland Raiders	W 44–7	Bears Stadium	4–1	22,452
6	October 14, 1962	at Oakland Raiders	W 23–6	Frank Youell Field	5–1	7,000
7	October 21, 1962	Houston Oilers	W 20–10	Bears Stadium	6–1	34,496
8	October 28, 1962	Buffalo Bills	L 35–48	Bears Stadium	6–2	26,051
9	November 4, 1962	at San Diego Chargers	W 23–20	Balboa Stadium	7–2	20,827
10	November 11, 1962	Boston Patriots	L 29–33	Bears Stadium	7–3	28,187
11	November 18, 1962	Dallas Texans	L 29–33	Bears Stadium	7–4	23,523
12	November 22, 1962	New York Titans	L 45–46	Bears Stadium	7–5	15,776
13	December 2, 1962	at Houston Oilers	L 17–34	Jeppesen Stadium	7–6	30,650
14	December 9, 1962	at Dallas Texans	L 10–17	Cotton Bowl	7–7	19,137
