Rank	Movie	Year	Studio(s)	Single Day Net Gross	Day in Release	Day of Week
1	Chennai Express	2013	Red Chillies Entertainment	33,12,00,000	Friday	1
2	Ek Tha Tiger	2012	Yash Raj Films	32,93,00,000	Wednesday	1
3	Chennai Express	2013	Red Chillies Entertainment	32,50,00,000	Sunday	3
4	Chennai Express	2013	Red Chillies Entertainment	28,50,00,000	Saturday	2
5	Dabangg 2	2012	Arbaaz Khan Productions	25,50,00,000	Sunday	3
6	RaOne	2011	Red Chillies Entertainment	25,00,00,000	Friday	2
7	Yeh Jawaani Hai Deewani	2013	Dharma Productions	22,69,00,000	Sunday	3
8	Agneepath	2012	Dharma Productions	21,72,00,000	Thursday	1
9	Bodyguard	2011	Reliance Entertainment	20,66,00,000	Wednesday	1
10	Yeh Jawaani Hai Deewani	2013	Dharma Productions	20,50,00,000	Saturday	2
