District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) 78.5% James Hogan (R) 21.5%
Texas 2	John Dowdy	Democratic	1952	Re-elected	John Dowdy (D) Unopposed
Texas 3	James M. Collins	Republican	1968	Re-elected	James M. Collins (R) 60.6% John Mead (D) 39.4%
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) Unopposed
Texas 5	Earle Cabell	Democratic	1964	Re-elected	Earle Cabell (D) 59.7% Frank Crowley (R) 40.3%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) Unopposed
Texas 8	Robert C. Eckhardt	Democratic	1966	Re-elected	Robert C. Eckhardt (D) Unopposed
Texas 9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 64.5% Henry C. Pressler (D) 35.5%
Texas 10	J. J. Pickle	Democratic	1963	Re-elected	J. J. Pickle (D) Unopposed
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) Unopposed
Texas 14	John Andrew Young	Democratic	1956	Re-elected	John Andrew Young (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 18	Bob Price	Republican	1966	Re-elected	Bob Price (R) Unopposed
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
Texas 20	Henry B. Gonzalez	Democratic	1961	Re-elected	Henry B. Gonzalez (D) Unopposed
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) 61.4% Richard Gill (R) 38.6%
Texas 22	Robert R. Casey	Democratic	1958	Re-elected	Robert R. Casey (D) 55.6% Arthur Busch (R) 44.4%
