Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	20–9–1 (1)	Ruben Villareal	KO (punches)	Gladiator Challenge: Mega Stars	1	2:30	Lincoln, California , United States
Loss	20–8–1 (1)	Dave Herman	TKO (punches)	Shark Fights 6: Stars & Stripes	1	1:00	Amarillo, Texas , United States
Win	20–7–1 (1)	Ritch Moss	Submission (rear naked choke)	Shark Fights 4	1	2:48	Lubbock, Texas , United States
Loss	19–7–1 (1)	Ikuhisa Minowa	Submission (kneebar)	Deep: Gladiator	1	3:56	Okayama , Japan
Win	19–6–1 (1)	Bryan Pardoe	KO (punches)	NLF: Heavy Hands	1	0:47	Dallas, Texas , United States
Loss	18–6–1 (1)	James Thompson	TKO (punches)	Pride 34	1	6:23	Saitama , Japan
Win	18–5–1 (1)	Kim Min-Soo	KO (punch)	Hero's 7	2	2:47	Yokohama , Japan
Win	17–5–1 (1)	Yoshihisa Yamamoto	Submission (rear naked choke)	Hero's 6	1	4:52	Tokyo , Japan
Draw	16–5–1 (1)	Ruben Villareal	Draw	King of the Cage: Predator	3	5:00	Globe, Arizona , United States
Win	16–5 (1)	Akebono	Submission (guillotine choke)	Hero's 5	2	3:50	Tokyo , Japan
Loss	15–5 (1)	Yoshihiro Nakao	Decision (unanimous)	K-1 Premium 2004 Dynamite	3	5:00	Osaka , Japan
NC	15–4 (1)	Yoshihiro Nakao	No contest (cut caused by accidental headbutt)	K-1 MMA ROMANEX	1	1:19	Saitama , Japan
Loss	15–4	Gary Goodridge	KO (head kick)	Pride Shockwave 2003	1	0:39	Saitama , Japan
Loss	15–3	Mark Coleman	Decision (unanimous)	Pride 26	3	5:00	Yokohama , Japan
Loss	15–2	Hidehiko Yoshida	Technical submission (armbar)	Pride 23	1	5:32	Tokyo , Japan
Win	15–1	Yoshihiro Takayama	TKO (punches)	Pride 21	1	6:10	Saitama , Japan
Win	14–1	Ken Shamrock	Decision (split)	Pride 19	3	5:00	Saitama , Japan
Win	13–1	Cyril Abidi	Submission (rear naked choke)	Inoki Bom-Ba-Ye 2001	2	0:33	Saitama , Japan
Win	12–1	Gilbert Yvel	DQ (eye gouging)	Pride 16	1	7:27	Osaka , Japan
Win	11–1	Eric Valdez	Submission (choke)	Unified Shoot Wrestling Federation 5	1	0:49	Amarillo, Texas , United States
Win	10–1	Tank Abbott	Submission (rear naked choke)	Ultimate Ultimate 96	1	1:22	Birmingham, Alabama , United States
Win	9–1	Mark Hall	Submission (achilles lock)	Ultimate Ultimate 96	1	0:20	Birmingham, Alabama , United States
Win	8–1	Gary Goodridge	Submission (fatigue)	Ultimate Ultimate 96	1	11:19	Birmingham, Alabama , United States
Win	7–1	Mark Hall	Submission (forearm choke)	U-Japan	1	5:29	Japan
Loss	6–1	Mark Coleman	TKO (punches)	UFC 10	1	11:34	Birmingham, Alabama , United States
Win	6–0	Brian Johnston	Submission (elbow)	UFC 10	1	4:37	Birmingham, Alabama , United States
Win	5–0	Mark Hall	TKO (punches)	UFC 10	1	10:21	Birmingham, Alabama , United States
Win	4–0	Amaury Bitetti	TKO (punches)	UFC 9	1	9:22	Detroit, Michigan , United States
Win	3–0	Gary Goodridge	Submission (punches)	UFC 8	1	2:14	Bayamón , Puerto Rico
Win	2–0	Sam Adkins	TKO (doctor stoppage)	UFC 8	1	0:48	Bayamón , Puerto Rico
Win	1–0	Thomas Ramirez	KO (punch)	UFC 8	1	0:08	Bayamón , Puerto Rico
