Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	1:21.193	1:20.005	1:20.005
A. J. Allmendinger	Forsythe Racing	—	1:20.361	1:20.361
Justin Wilson	RuSPORT	1:22.085	1:20.587	1:20.587
Paul Tracy	Forsythe Racing	1:22.222	1:20.669	1:20.669
Oriol Servià	PKV Racing	1:21.523	1:20.691	1:20.691
Bruno Junqueira	Newman/Haas Racing	1:21.856	1:20.772	1:20.772
Will Power	Team Australia	1:22.796	1:21.156	1:21.156
Dan Clarke	CTE Racing-HVM	1:22.800	1:21.555	1:21.555
Andrew Ranger	Mi-Jack Conquest Racing	1:22.655	1:21.561	1:21.561
Nelson Philippe	CTE Racing-HVM	1:22.513	1:21.725	1:21.725
Charles Zwolsman	Mi-Jack Conquest Racing	1:23.114	1:21.771	1:21.771
Alex Tagliani	Team Australia	1:22.803	1:21.916	1:21.916
Antônio Pizzonia	Rocketsports Racing	1:22.767	1:22.050	1:22.050
Jan Heylen	Dale Coyne Racing	1:22.999	1:22.096	1:22.096
Mario Domínguez	Dale Coyne Racing	1:22.796	1:22.581	1:22.581
Katherine Legge	PKV Racing	1:23.663	1:22.902	1:22.902
Nicky Pastorelli	Rocketsports Racing	1:24.204	1:25.338	1:24.204
