Year	Delegate	Hometown	Pageant	Result	Other awards
1971	Nelia Sancho	No information available	Queen of the Pacific	Winner	None
1971	Milagros Gutierrez	No information available	Miss Charming International	Second Runner-up	None
1972	Maria Isabel Seva	No information available	Miss Charming International	Did not place	None
1989	Maria Rita Apostol	No information available	Miss Flower Queen	Did not place	None
1992	Sharmaine Rama Gutierrez	Manila, Metro Manila	Elite Model Look	Did not place	None
1993	Anna Maria Gonzalez	No information available	Elite Model Look	Did not place	None
1995	Rollen Richelle Caralde	No information available	Elite Model Look	Did not place	None
1996	Ailleen Marfori Damiles	Las Piñas, Metro Manila	International Folklore Beauty Pageant	Top 5 Finalist	Miss Photogenic
1997	Joanne Zapanta Santos	San Fernando, Pampanga	Miss Tourism International	Winner	None
2000	Rachel Muyot Soriano	No information available	Miss Tourism World	Second Runner-up	Best in Long Gown
2001	Maricar Manalaysay Balagtas	Bulacan	Miss Globe International	Winner	Best National Costume
2001	Michelle Cueva Reyes	Caloocan City, Metro Manila	Miss Tourism International	Winner	Best National Costume
2001	Zorayda Ruth Blanco Andam	Baguio City	Miss Tourism World	Finalist	Miss Tourism World Asia
2001	Joanna Maria Mijares Peñaloza	Mandaluyong City, Metro Manila	Miss Internet WWW	Did not place	Face of the Net
2002	Kristine Reyes Alzar	Lipa, Batangas	Miss Tourism International	Winner	Best National Costume
2002	Karen Loren Medrano Agustin	Manila, Metro Manila	Miss Globe International	Fifth Runner-up	Best in Swimsuit
2002	Michelle Cueva Reyes	Caloocan City, Metro Manila	Miss Tourism World	Winner	Best National Costume
2002	Margaret-Ann Awitan Bayot	Antipolo , Rizal	Miss Internet WWW	Second Runner-up	None
2003	Noella Mae Evangelista	Iligan City	Queen of Tourism International	Winner	Best National Costume
2004	Karen Loren Medrano Agustin	Manila, Metro Manila	World Coffee Queen	Second Runner-up	None
2004	Margaret Ann Awitan Bayot	Antipolo, Rizal	Miss Maja Mundial	First Runner-up/Virreina	None
2005	Jhezarie Games Javier	Manila, Metro Manila	Miss ASEAN	Winner	None
2006	Carlene Ang Aguilar	Quezon City, Metro Manila	Miss Internet WWW	Winner	None
2009	April Love Antolo Jordan	Manila, Metro Manila	Beauty of the World	Winner	None
2010	Mariella Castillo	Mabini, Batangas	Miss Global Teen	Top 12 Semi-Finalist	Teen Queen of Asia and Oceania
