Date of Issue	Theme	Denomination	Design	Illustration	Printing Process	Paper Type	First Day Cover Cancellation
15 January 2008	Celebration	Permanent	Michael Zavacky, McMillan	Michael Zavacky, McMillan	Lithography in 7 colours	Lowe-Martin	Zeballos, BC
3 March 2008	Peonies (The Elgin)	52 cents	Isabelle Toussaint	Isabelle Toussaint	Lithography in 6 colours	Tullis-Russell	Oakville, ON
3 March 2008	Peonies (Coral ‘n Gold)	52 cents	Isabelle Toussaint	Isabelle Toussaint	Lithography in 6 colours	Tullis-Russell	Oakville, ON
7 March 2008	University of Alberta	52 cents	Metaform Communication Design	Creative Services, University of Alberta	Lithography in 8 colours	Tullis-Russell	Edmonton, Alberta
7 March 2008	University of British Columbia	52 cents	Metaform Communication Design	Martin Dee, UBC Public Affairs	Lithography in 4 colours	Tullis-Russell	Vancouver, British Columbia
3 April 2008	IIHF World Championships, Quebec City	52 cents	Lionel Gadoury, Dave Hurds	Ho Che Anderson	Lithography in 7 colours	Tullis Russell Coatings	Québec City , QC
3 April 2008	IIHF World Championships, Halifax	52 cents	Lionel Gadoury, Dave Hurds	Ho Che Anderson	Lithography in 7 colours	Tullis Russell Coatings	Halifax , NS
21 April 2008	Guide Dogs	52 cents	Designwerke Inc., Andrew Perro	J. Christopher Lawson	Lithography in 4 colours plus varnish	Tullis Russell Coatings	Ottawa, Ontario
2 May 2008	Oil and Gas: Calgary, Alberta	52 cents	Tim Nokes	Neil Petrunia	Lithography in 6 colours	Tullis Russell Coatings	Calgary, Alberta
2 May 2008	Oil and Gas: Oil Springs	52 cents	Tim Nokes	Neil Petrunia	Lithography in 6 colours	Tullis Russell Coatings	Oil Springs, Ontario
16 May 2008	Founding of Quebec City	52 cents	Fugazi	Francis Back, Jorge Peral	Lithography in 1 colour and 3 colours intaglio	Tullis Russell Coatings	Québec City, QC
21 May 2008	Yousuf Karsh	52 cents	Hélène L’Heureux	Photos from the Karsh Estate	Lithography in 6 colours plus varnish	Tullis Russell Coatings	Ottawa, Ontario
21 May 2008	Audrey Hepburn	96 cents	Hélène L’Heureux	Photos from the Karsh Estate	Lithography in 6 colours plus varnish	Tullis Russell Coatings	Ottawa, Ontario
21 May 2008	Winston Churchill	One Dollar and Sixty Cents	Hélène L’Heureux	Photos from the Karsh Estate	Lithography in 6 colours plus varnish	Tullis Russell Coatings	Ottawa, Ontario
4 June 2008	Royal Canadian Mint , 100th Anniversary	Fifty-two cents	Stéphane Huot	Normand Robert	Lithography in 6 colours and embossing	Tullis Russell Coatings	Ottawa, Ontario
