Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Monaco Grand Prix	Monaco	26 May	Jim Clark	John Surtees	Graham Hill	BRM	D	Report
Belgian Grand Prix	Spa-Francorchamps	9 June	Graham Hill	Jim Clark	Jim Clark	Lotus - Climax	D	Report
Dutch Grand Prix	Zandvoort	23 June	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
French Grand Prix	Reims	30 June	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
British Grand Prix	Silverstone	20 July	Jim Clark	John Surtees	Jim Clark	Lotus - Climax	D	Report
German Grand Prix	Nürburgring	4 August	Jim Clark	John Surtees	John Surtees	Ferrari	D	Report
Italian Grand Prix	Monza	8 September	John Surtees	Jim Clark	Jim Clark	Lotus - Climax	D	Report
United States Grand Prix	Watkins Glen	6 October	Graham Hill	Jim Clark	Graham Hill	BRM	D	Report
Mexican Grand Prix	Hermanos Rodriguez	27 October	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
South African Grand Prix	Prince George	28 December	Jim Clark	Dan Gurney	Jim Clark	Lotus - Climax	D	Report
