Tie no	Home team	Score	Away team	Date
1	Blackpool	2–0	Grimsby Town	17/11/1990
2	Chester City	2–2	Doncaster Rovers	17/11/1990
Replay	Doncaster Rovers	1–2	Chester City	20/11/1990
3	Chesterfield	3–2	Spennymoor United	17/11/1990
4	Darlington	1–1	York City	17/11/1990
Replay	York City	1–0	Darlington	19/11/1990
5	Bournemouth	2–1	Gillingham	17/11/1990
6	Barnet	2–2	Chelmsford City	17/11/1990
Replay	Chelmsford City	0–2	Barnet	21/11/1990
7	Preston North End	0–1	Mansfield Town	17/11/1990
8	Rochdale	1–1	Scunthorpe United	17/11/1990
Replay	Scunthorpe United	2–1	Rochdale	20/11/1990
9	Woking	0–0	Kidderminster Harriers	17/11/1990
Replay	Kidderminster Harriers	1–1	Woking	21/11/1990
Replay	Kidderminster Harriers	1–2	Woking	26/11/1990
10	Lincoln City	1–4	Crewe Alexandra	17/11/1990
11	Stafford Rangers	1–3	Burnley	17/11/1990
12	Scarborough	0–2	Leek Town	17/11/1990
13	Bishop Auckland	0–1	Barrow	17/11/1990
14	Chorley	2–1	Bury	17/11/1990
15	Fulham	2–1	Farnborough Town	17/11/1990
16	Aylesbury United	0–1	Walsall	17/11/1990
17	Brentford	5–0	Yeovil Town	17/11/1990
18	Maidstone United	4–1	Torquay United	17/11/1990
19	Bradford City	0–0	Shrewsbury Town	17/11/1990
Replay	Shrewsbury Town	2–1	Bradford City	21/11/1990
20	Altrincham	1–2	Huddersfield Town	18/11/1990
21	Witton Albion	1–2	Bolton Wanderers	17/11/1990
22	Exeter City	1–2	Cambridge United	17/11/1990
23	Cardiff City	0–0	Hayes	17/11/1990
Replay	Hayes	1–0	Cardiff City	21/11/1990
24	Halifax Town	3–2	Wrexham	17/11/1990
25	Halesowen Town	1–2	Tranmere Rovers	17/11/1990
26	Runcorn	0–3	Hartlepool United	17/11/1990
27	Hereford United	1–1	Peterborough United	17/11/1990
Replay	Peterborough United	2–1	Hereford United	20/11/1990
28	Rotherham United	1–0	Stockport County	17/11/1990
29	Aldershot	6–2	Tiverton Town	17/11/1990
30	Wigan Athletic	5–0	Carlisle United	17/11/1990
31	Tamworth	4–6	Whitley Bay	17/11/1990
32	Boston United	1–1	Wycombe Wanderers	17/11/1990
Replay	Wycombe Wanderers	4–0	Boston United	21/11/1990
33	Colchester United	2–1	Reading	17/11/1990
34	Birmingham City	1–0	Cheltenham Town	17/11/1990
35	Leyton Orient	3–2	Southend United	17/11/1990
36	Merthyr Tydfil	1–1	Sutton United	17/11/1990
Replay	Sutton United	0–1	Merthyr Tydfil	21/11/1990
37	Littlehampton Town	0–4	Northampton Town	17/11/1990
38	Telford United	0–0	Stoke City	17/11/1990
Replay	Stoke City	1–0	Telford United	21/11/1990
39	Swansea City	5–2	Welling United	17/11/1990
40	Atherstone United	3–1	Fleetwood Town	17/11/1990
