Year	Place	Gold	Silver	Bronze
1966	Wiesbaden	Eulalia Zakrzewska ( POL )	Margaret Thompson ( USA )	Ferencne Kun ( HUN )
1970	Phoenix	Desanka Perovic ( YUG )	Ann de Vos ( RSA )	Margareta Gustafsson ( SWE )
1974	Thun	Margaret Murdock ( USA )	Christina Gustafsson ( SWE )	Nonka Shatarova ( BUL )
1978	Seoul	Sue Ann Sandusky ( USA )	Dominique Esnault ( FRA )	Karen Monez ( USA )
1982	Caracas	Sirpa Yloenen ( FIN )	Yvonne Hill ( AUS )	Svetlana Komaristova ( URS )
1986	Suhl	Eva Forian ( HUN )	Nonka Matova ( BUL )	Roxana Lamasanu ( ROM )
1990	Moscow	Iryna Shylava ( URS )	Valentina Cherkasova ( URS )	Lessia Leskiv ( URS )
1994	Milan	Petra Horneber ( GER )	Beth Herzman ( USA )	Nieves Fernandez ( ESP )
1998	Barcelona	Marina Bobkova ( RUS )	Xian Wang ( CHN )	Elizabeth Bourland ( USA )
2002	Lahti	Olga Dovgun ( KAZ )	Xian Wang ( CHN )	Natallia Kalnysh ( UKR )
2006	Zagreb	Olga Dovgun ( KAZ )	Hanne Skarpodde ( NOR )	Varvara Kovalenko ( KAZ )
2010	Munich	Tejaswini Sawant ( IND )	Joanna Nowakowska ( POL )	Olga Dovgun ( KAZ )
