Outcome	Year	Championship	Surface	Partner	Opponents	Score
Winner	1990	US Open	Hard	Elizabeth Sayers Smylie	Jim Pugh Natasha Zvereva	6–4, 6–2
Runner-up	1992	Australian Open	Hard	Arantxa Sánchez Vicario	Mark Woodforde Nicole Provis	3–6, 6–4, 9–11
Winner	1992	French Open	Clay	Arantxa Sánchez Vicario	Bryan Shelton Lori McNeil	6–2, 6–3
Winner	1993	Australian Open	Hard	Arantxa Sánchez Vicario	Rick Leach Zina Garrison	7–5, 6–4
Winner	1993	US Open	Hard	Helena Suková	Mark Woodforde Martina Navratilova	6–3, 7–6
Runner-up	1994	Australian Open	Hard	Helena Suková	Andrei Olhovskiy Larisa Savchenko Neiland	5–7, 7–6 (9–7) , 2–6
Winner	1994	Wimbledon	Grass	Helena Suková	T. J. Middleton Lori McNeil	3–6, 7–5, 6–3
Runner-up	1994	US Open	Hard	Jana Novotná	Patrick Galbraith Elna Reinach	2–6, 4–6
Winner	1995	French Open	Clay	Larisa Savchenko	John-Laffnie de Jager Jill Hetherington	7–6 (10–8) , 7–6 (7–4)
Runner-up	2000	Australian Open	Hard	Arantxa Sánchez Vicario	Jared Palmer Rennae Stubbs	5–7, 6–7 (3–7)
Runner-up	2000	French Open	Clay	Rennae Stubbs	David Adams Mariaan de Swardt	3–6, 6–3, 3–6
Winner	2001	US Open	Hard	Rennae Stubbs	Leander Paes Lisa Raymond	6–4, 5–7, 7–6
Runner-up	2003	Australian Open	Hard	Eleni Daniilidou	Leander Paes Martina Navrátilová	4–6, 5–7
Runner-up	2004	Wimbledon	Grass	Alicia Molik	Wayne Black Cara Black	6–3, 6–7, 4–6
Runner-up	2004	US Open	Hard	Alicia Molik	Bob Bryan Vera Zvonareva	3–6, 4–6
