Year	Dates	Champion	Country	Score	To par	Margin of victory	Purse ( US$ )	Winner's share
2012	Jul 26–29	Inbee Park	South Korea	71-64-70-66=271	–17	2 strokes	3,250,000	487,500
2011	Jul 21–24	Ai Miyazato	Japan	68-68-67-70=273	–15	2 strokes	3,250,000	487,500
2010	Jul 22–25	Jiyai Shin	South Korea	68-70-71-66=274	–14	1 stroke	3,250,000	487,500
2009	Jul 23–26	Ai Miyazato	Japan	69-66-70-69=274	–14	Playoff	3,250,000	487,500
2008	Jul 24–27	Helen Alfredsson	Sweden	72-63-71-67=273	–15	Playoff	3,250,000	487,500
2007	Jul 26–29	Natalie Gulbis	United States	72-69-73-70=284	–4	Playoff	3,000,000	450,000
2006	Jul 26–29	Karrie Webb	Australia	67-68-69-68=272	–16	1 stroke	3,000,000	450,000
2005	Jul 20–23	Paula Creamer	United States	68-68-66-71=273	–15	8 strokes	2,500,000	375,000
2004	Jul 21–24	Wendy Doolan	Australia	68-68-69-65=270	–18	1 stroke	2,500,000	375,000
2003	Jul 23–26	Juli Inkster	United States	66-72-64-65=267	–21	6 strokes	2,100,000	315,000
2002	Jun 12–15	Annika Sörenstam	Sweden	68-67-65-69=269	–19	4 strokes	2,100,000	315,000
2001	Jun 13–16	Rachel Teske	Australia	71-68-66-68=273	–15	1 stroke	2,100,000	315,000
2000	Jun 14–17	Annika Sörenstam	Sweden	70-68-70-68=276	–12	Playoff	1,800,000	270,000
