Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	70	1:33:36.111	2
David Coulthard	McLaren - Mercedes	70	+1.132	8
Rubens Barrichello	Ferrari	70	+7.082	3
Kimi Räikkönen	McLaren - Mercedes	70	+37.563	5
Giancarlo Fisichella	Jordan - Honda	70	+42.812	6
Jarno Trulli	Renault	70	+48.947	10
Ralf Schumacher	Williams - BMW	70	+51.518	4
Olivier Panis	BAR - Honda	69	+1 Lap	11
Felipe Massa	Sauber - Petronas	69	+1 Lap	12
Takuma Sato	Jordan - Honda	69	+1 Lap	15
Mark Webber	Minardi - Asiatech	69	+1 Lap	21
Nick Heidfeld	Sauber - Petronas	69	+1 Lap	7
Heinz-Harald Frentzen	Arrows - Cosworth	69	+1 Lap	19
Alex Yoong	Minardi - Asiatech	68	+2 Laps	22
Jenson Button	Renault	65	Gearbox	13
Juan Pablo Montoya	Williams - BMW	56	Engine	1
Allan McNish	Toyota	45	Spin	20
Eddie Irvine	Jaguar - Cosworth	41	Overheating	14
Mika Salo	Toyota	41	Brakes	18
Pedro de la Rosa	Jaguar - Cosworth	29	Gearbox	16
Enrique Bernoldi	Arrows - Cosworth	16	Suspension	17
Jacques Villeneuve	BAR - Honda	8	Engine	9
Source:	Source:	Source:	Source:	Source:
