Name	Municipal status	Census division	Population (2011)	Population (2006)	Change (%)	Area (km²)	Population density
Barrie	Single-tier	Simcoe	136063	128430	5.9	77.39	1758.1
Belleville	Single-tier	Hastings	49454	48821	1.3	247.21	200
Brampton Brampton is Canada's ninth-largest city .	Lower-tier	Peel	523911	433806	20.8	266.34	1967.1
Brant	Single-tier	Brant	35638	34415	3.6	843.29	42.3
Brockville	Single-tier	Leeds and Grenville	21870	21957	-0.4	20.9	1046.2
Burlington	Lower-tier	Halton	175779	164415	6.9	185.66	946.8
Clarence-Rockland	Lower-tier	Prescott and Russell	23185	20790	11.5	297.86	77.8
Cornwall	Single-tier	Stormont, Dundas and Glengarry	46340	45965	0.8	61.52	753.2
Elliot Lake	Single-tier	Algoma	11348	11549	-1.7	714.56	15.9
Haldimand County	Single-tier	Haldimand	44876	45212	-0.7	1251.57	35.9
Kawartha Lakes	Single-tier	Kawartha Lakes	73214	74561	-1.8	3083.06	23.7
Kenora	Single-tier	Kenora	15348	15177	1.1	211.75	72.5
Norfolk County	Single-tier	Norfolk	63175	62563	1	1607.6	39.3
North Bay	Single-tier	Nipissing	53651	53966	-0.6	319.05	168.2
Orillia	Single-tier	Simcoe	30586	30259	1.1	28.61	1069.2
Owen Sound	Lower-tier	Grey	21688	21753	-0.3	24.22	895.5
Pickering	Lower-tier	Durham	88721	87838	1	231.59	383.1
Port Colborne	Lower-tier	Niagara	18424	18599	-0.9	121.97	151.1
Prince Edward County	Single-tier	Prince Edward	25258	25496	-0.9	1050.45	24
Quinte West	Single-tier	Hastings	43086	42697	0.9	494.15	87.2
Sarnia	Lower-tier	Lambton	72366	71419	1.3	164.71	439.4
Sault Ste. Marie	Single-tier	Algoma	75141	74948	0.3	223.26	336.6
St. Thomas	Single-tier	Elgin	37905	36110	5	35.52	1067.3
Stratford	Single-tier	Perth	30886	30516	1.2	26.95	1146
Temiskaming Shores	Single-tier	Timiskaming	10400	10442	-0.4	177.91	58.5
Thorold	Lower-tier	Niagara	17931	18224	-1.6	83	216
Timmins	Single-tier	Cochrane	43165	42997	0.4	2979.15	14.5
Vaughan	Lower-tier	York	288301	238866	20.7	273.52	1054
Welland	Lower-tier	Niagara	50631	50331	0.6	81.09	624.4
Woodstock	Lower-tier	Oxford	37754	35822	5.4	49	770.5
