Date	Course	Distance	Type	Winner
4 July	Monaco	km (mi)	Individual Time Trial	Fabian Cancellara ( SUI )
5 July	Monaco to Brignoles	km (mi)	Flat Stage	Mark Cavendish ( GBR )
6 July	Marseille to La Grande-Motte	km (mi)	Flat Stage	Mark Cavendish ( GBR )
7 July	Montpellier	km (mi)	Team Time Trial	Astana
8 July	Cap d'Agde to Perpignan	km (mi)	Flat Stage	Thomas Voeckler ( FRA )
9 July	Girona , Spain to Barcelona , Spain	km (mi)	Flat Stage	Thor Hushovd ( NOR )
10 July	Barcelona to Andorra-Arcalis , Andorra	km (mi)	Mountain Stage	Brice Feillu ( FRA )
11 July	Andorra la Vella to Saint-Girons	km (mi)	Mountain Stage	Luis León Sánchez ( ESP )
12 July	Saint-Gaudens to Tarbes	km (mi)	Mountain Stage	Pierrick Fédrigo ( FRA )
13 July	Rest day	Rest day	Rest day	Rest day
14 July	Limoges to Issoudun	km (mi)	Flat Stage	Mark Cavendish ( GBR )
15 July	Vatan to Saint-Fargeau	km (mi)	Flat Stage	Mark Cavendish ( GBR )
16 July	Tonnerre to Vittel	km (mi)	Flat Stage	Nicki Sørensen ( DEN )
17 July	Vittel to Colmar	km (mi)	Medium mountain stage	Heinrich Haussler ( GER )
18 July	Colmar to Besançon	km (mi)	Flat Stage	Sergei Ivanov ( RUS )
19 July	Pontarlier to Verbier , Switzerland	km (mi)	Mountain Stage	Alberto Contador ( ESP )
20 July	Rest day	Rest day	Rest day	Rest day
21 July	Martigny , Switzerland to Bourg-Saint-Maurice	km (mi)	Mountain Stage	Sandy Casar ( FRA )
22 July	Bourg-Saint-Maurice to Le Grand-Bornand	km (mi)	Mountain Stage	Fränk Schleck ( LUX )
23 July	Annecy	km (mi)	Individual Time Trial	Alberto Contador ( ESP )
24 July	Bourgoin-Jallieu to Aubenas	km (mi)	Flat Stage	Mark Cavendish ( GBR )
25 July	Montélimar to Mont Ventoux	km (mi)	Mountain Stage	Juan Manuel Gárate ( ESP )
26 July	Montereau-Fault-Yonne to Paris ( Champs-Élysées )	km (mi)	Flat Stage	Mark Cavendish ( GBR )
TOTAL	TOTAL	km (mi)	km (mi)	km (mi)
