Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
2	November 1	@ Atlanta	L 85–90 (OT)	Damon Stoudamire (21)	Popeye Jones (7)	Damon Stoudamire (6)	Alexander Memorial Coliseum 8,539	0-2
3	November 4	Golden State	W 104–86 (OT)	John Wallace (17)	Doug Christie (8)	Damon Stoudamire (13)	SkyDome 16,624	1-2
4	November 6	Seattle	L 92–109 (OT)	Damon Stoudamire (22)	Marcus Camby (9)	Damon Stoudamire (7)	SkyDome 15,459	1-3
5	November 8	@ Orlando	L 87–96 (OT)	Marcus Camby (17)	Doug Christie (7)	Damon Stoudamire (9)	Orlando Arena 17,248	1-4
6	November 10	San Antonio	L 98–100 (OT)	Doug Christie (26)	Popeye Jones (12)	Damon Stoudamire (13)	SkyDome 18,174	1-5
7	November 12	New York	L 70–93 (OT)	John Wallace (13)	Popeye Jones (7)	Damon Stoudamire (7)	SkyDome 18,143	1-6
8	November 14	@ Boston	L 99–103 (OT)	Walt Williams (25)	Walt Williams (12)	Damon Stoudamire (9)	FleetCenter 17,224	1-7
9	November 15	Indiana	L 77–105 (OT)	John Wallace (17)	Tracy McGrady (11)	Damon Stoudamire (14)	SkyDome 17,188	1-8
10	November 18	Boston	L 109–122 (OT)	John Wallace (30)	John Wallace (12)	Shawn Respert , Damon Stoudamire (6)	SkyDome 16,343	1-9
11	November 20	@ Houston	L 97–127 (OT)	Damon Stoudamire (25)	Damon Stoudamire (11)	Damon Stoudamire (4)	Compaq Center 16,285	1-10
12	November 22	@ Miami	L 104–108 (OT)	John Wallace (28)	Žan Tabak (9)	Damon Stoudamire (11)	Miami Arena 14,381	1-11
13	November 24	Portland	L 90–91 (OT)	Damon Stoudamire (29)	Popeye Jones , Reggie Slater (7)	Damon Stoudamire (11)	SkyDome 15,051	1-12
14	November 26	Atlanta	L 104–109 (2OT)	John Wallace (30)	Popeye Jones (16)	Damon Stoudamire (13)	SkyDome 15,639	1-13
15	November 28	@ Dallas	L 91–93 (OT)	Doug Christie (27)	John Wallace (10)	Damon Stoudamire (6)	Reunion Arena 13,327	1-14
