Winners	Match points	Aggregate score	Points margin	Losers
Borders	4 – 0	205 – 6	199	AA Coimbra
Viadana	4 – 0	147 – 10	137	Valladolid RAC
Clermont Auvergne	4 – 0	116 – 6	110	Leonessa
Montpellier	4 – 0	110 – 10	100	Rovigo
Béziers	4 – 0	126 – 42	84	Petrarca Padova
Agen	4 – 0	109 – 48	61	L'Aquila
Sale Sharks	4 – 0	81 – 25	56	Catania
Pau	4 – 0	66 – 37	29	Bayonne
Saracens	4 – 0	60 – 31	29	Gran Parma
London Irish	4 – 0	62 – 36	26	Auch
Grenoble	3 – 1	27 – 26	1	Leeds Tykes
Brive	2 – 2	55 – 39	16	Worcester Warriors
Connacht	2 – 2	51 – 46	5	Narbonne
