Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1997	Chen Hong	Yang Wei	Chan Chong Ming Jeremy Gan	Yang Wei Gao Ling	Cheng Rui Gao Ling
1998	Chien Yu-Hsu	Hu Ting	Chan Chong Ming Teo Kok Seng	Gong Ruina Huang Sui	Jiang Shan Huang Sui
1999	Xiao Li	Hu Ting	Sang Yang Chen Yu	Xie Xingfang Zhang Jiewen	Hendry Kurniawan Saputra Eny Erlangga
2000	Lin Dan	Yu Jin	Sang Yang Zheng Bo	Zhang Yawen Wei Yili	Zheng Bo Wei Yili
2001	Ardiansyah	Jun Jae-youn	Lee Jae-jin Hwang Ji-man	Hwang Yu-mi Cho A Ra	Hwang Ji-man Bae Sung-hee
2002	Park Sung-hwan	Zhu Lin	Koo Kien Keat Ong Soon Hock	Rong Lu Du Jing	Markis Kido Lilyana Natsir
2003	No competition	No competition	No competition	No competition	No competition
2004	Chen Jin	Jiang Yanjiao	Jung Jung-young Lee Yong-dae	Ding Jiao Zhao Yunlei	Shen Ye Feng Chen
2005	Lu Qicheng	Wang Lin	Lee Yong-dae Cho Gun-woo	Cheng Shu Liao Jingmei	Lee Yong-dae Ha Jung-eun
2006	Kenichi Tago	Wang Yihan	Lee Yong-dae Cho Gun-woo	Ma Jin Wang Xiaoli	Lee Yong-dae Yoo Hyun-young
2007	Chen Long	Liu Xin	Chai Biao Li Tian	Richi Puspita Dili Debby Susanto	Tan Wee Kiong Woon Khe Wei
2008	Wang Zhengming	Li Xuerui	Mak Hee Chun Teo Kok Siang	Xie Jing Zhong Qianxin	Zhang Nan Lu Lu
2009	Tian Houwei	Chen Xiaojia	Angga Pratama Yohanes Rendy Sugiarto	Tang Jinhua Xia Huan	Lu Kai Bao Yixin
2010	Huang Yuxiang	Suo Di	Kang Ji-wook Choi Seung-il	Tang Jinhua Xia Huan	Liu Cheng Bao Yixin
2011	Zulfadli Zulkiffli	Sun Yu	Lin Chia-yu Huang Po-jui	Suci Rizki Andini Tiara Rosalia Nuraidah	Lukhi Apri Nugroho Ririn Amelia
2012	Kento Momota	Pusarla Venkata Sindhu	Edi Subaktiar Arya Maulana Aldiartama	Shin Seung-chan Lee So-hee	Choi Sol-kyu Chae Yoo-jung
2013	Soo Teck Zhi	Aya Ohori	Li Junhui Liu Yuchen	Huang Dongping Jia Yifan	Choi Sol-kyu Chae Yoo-jung
