Year	Award	Category	Recipient	Result
2010	Green Globe Film Awards	Outstanding Actors Asians in Hollywood	Brenda Song	Nominated
2010	2010 Kids' Choice Awards	Favorite TV Show	The Suite Life on Deck	Nominated
2010	2010 Kids' Choice Awards	Favorite TV Actor	Cole Sprouse	Nominated
2010	2010 Kids' Choice Awards	Favorite TV Actor	Dylan Sprouse	Won
2010	Hollywood Teen TV Awards	Teen Pick Show: Comedy	The Suite Life on Deck	Nominated
2010	Hollywood Teen TV Awards	Teen Pick Actress: Comedy	Debby Ryan	Nominated
2010	Hollywood Teen TV Awards	Teen Pick Actor: Comedy	Dylan Sprouse	Nominated
2011	2011 Kids' Choice Awards	Favorite TV Show	The Suite Life on Deck	Nominated
2011	2011 Kids' Choice Awards	Favorite TV Actor	Cole Sprouse	Nominated
2011	2011 Kids' Choice Awards	Favorite TV Actor	Dylan Sprouse	Won
2011	2011 Kids' Choice Awards	Favorite TV Sidekick	Brenda Song	Nominated
2011	Casting Society of America	Best Casting – Children's Series	Dana Gergely Brandi Brice	Won
