Poll Source	Sample Size	Margin of Error	Date	Democrat	Republican
Quinnipiac	1,528	2.5	Mar 16-18, 2008	Hillary Clinton	John McCain
Quinnipiac	1,528	2.5	Mar 16-18, 2008	Barack Obama	John McCain
Survey USA	507	4.4	Mar 14-16, 2008	Hillary Clinton	John McCain
Survey USA	507	4.4	Mar 14-16, 2008	Barack Obama	John McCain
Survey USA	519	4.4	Feb 15-17, 2008	Hillary Clinton	John McCain
Survey USA	519	4.3	Feb 15-17, 2008	Barack Obama	John McCain
Survey USA	516	4.4	Jan 20-21, 2008	Hillary Clinton	Rudy Giuliani
Survey USA	516	4.3	Jan 20-21, 2008	Hillary Clinton	Mike Huckabee
Survey USA	516	4.4	Jan 20-21, 2008	Hillary Clinton	John McCain
Survey USA	516	4.3	Jan 20-21, 2008	Hillary Clinton	Mitt Romney
Survey USA	516	4.4	Jan 20-21, 2008	Barack Obama	Rudy Giuliani
Survey USA	516	4.3	Jan 20-21, 2008	Barack Obama	Mike Huckabee
Survey USA	516	4.4	Jan 20-21, 2008	Barack Obama	John McCain
Survey USA	516	4.4	Jan 20-21, 2008	Barack Obama	Mitt Romney
Survey USA	503	4.4	Dec 13-15, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	503	4.4	Dec 13-15, 2007	Hillary Clinton	Mike Huckabee
Survey USA	503	4.4	Dec 13-15, 2007	Hillary Clinton	John McCain
Survey USA	503	4.4	Dec 13-15, 2007	Hillary Clinton	Mitt Romney
Survey USA	503	4.5	Dec 13-15, 2007	Barack Obama	Rudy Giuliani
Survey USA	503	4.4	Dec 13-15, 2007	Barack Obama	Mike Huckabee
Survey USA	503	4.5	Dec 13-15, 2007	Barack Obama	John McCain
Survey USA	503	4.4	Dec 13-15, 2007	Barack Obama	Mitt Romney
Survey USA	516	4.4	Nov 9-11, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	516	4.2	Nov 9-11, 2007	Hillary Clinton	Mike Huckabee
Survey USA	516	4.4	Nov 9-11, 2007	Hillary Clinton	John McCain
Survey USA	516	4.3	Nov 9-11, 2007	Hillary Clinton	Mitt Romney
Survey USA	516	4.4	Nov 9-11, 2007	Barack Obama	Rudy Giuliani
Survey USA	516	4.3	Nov 9-11, 2007	Barack Obama	Mike Huckabee
Survey USA	516	4.4	Nov 9-11, 2007	Barack Obama	John McCain
Survey USA	516	4.4	Nov 9-11, 2007	Barack Obama	Mitt Romney
NY1	1353	3	Oct 26-Nov 3, 2007	Hillary Clinton	Rudy Giuliani
NY1	1353	3	Oct 26-Nov 3, 2007	Barack Obama	Rudy Giuliani
Survey USA	507	4.3	Oct 12-14, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	496	4	Oct 12-14, 2007	Hillary Clinton	Mike Huckabee
Survey USA	493	4.2	Oct 12-14, 2007	Hillary Clinton	John McCain
Survey USA	482	4.1	Oct 12-14, 2007	Hillary Clinton	Ron Paul
Survey USA	502	4.1	Oct 12-14, 2007	Hillary Clinton	Mitt Romney
Survey USA	505	4.1	Oct 12-14, 2007	Hillary Clinton	Fred Thompson
Quinnipiac	1063	3	Oct 9-15, 2007	Hillary Clinton	Rudy Giuliani
