Rank	Celebrity	Professional Partner	Season	Average
1	Natasza Urbańska	Ján Kliment	10	39.18
2	Katarzyna Glinka	Stefano Terrazzino	11	38.76
3	Justyna Steczkowska	Stefano Terrazzino	6	37.67
4	Paweł Staliński	Izabela Janachowska	12	37.29
5	Natalia Lesz	Łukasz Czarnecki	8	37.24
6	Bilguun Ariunbaatar	Janja Lesar	13	36.65
7	Bartek Kasprzykowski	Blanka Winiarska	9	36.6
8	Małgorzata Foremniak	Rafał Maserak	2	36.36
9	Aleksandra Kwaśniewska	Rafał Maserak	3	35.21
10	Peter J. Lucas	Dominika Kublik-Marzec	4	34.93
11	Witold Paszt	Anna Głogowska	1	34.66
12	Ivan Komarenko	Blanka Winiarska	5	33.36
13	Mariusz Pudzianowski	Magdalena Soszyńska-Michno	7	33.06
