Name	Championship	League Cup	FA Cup	Total
Gary McSheffrey Category:Articles with hCards	10	1	0	11
Michael Doyle Category:Articles with hCards	9	0	0	9
Richard Duffy Category:Articles with hCards	7	0	1	8
Robert Page Category:Articles with hCards	8	0	0	8
Dennis Wise Category:Articles with hCards	7	0	0	7
Dele Adebola Category:Articles with hCards	4	0	1	5
Don Hutchison Category:Articles with hCards	4	0	1	5
Stern John Category:Articles with hCards	4	1	0	5
Marcus Hall Category:Articles with hCards	3	1	0	4
Matt Heath Category:Articles with hCards	4	0	0	4
James Scowcroft Category:Articles with hCards	3	0	1	4
Adrian Williams Category:Articles with hCards	4	0	0	4
Stephen Hughes Category:Articles with hCards	2	0	1	3
Richard Shaw Category:Articles with hCards	3	0	0	3
Willo Flood Category:Articles with hCards	2	0	0	2
Claus Bech Jørgensen Category:Articles with hCards	2	0	0	2
Isaac Osbourne Category:Articles with hCards	1	1	0	2
Kevin Thornton Category:Articles with hCards	2	0	0	2
Andrew Whing Category:Articles with hCards	2	0	0	2
