Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alaska (2011)	Olivia	Emma	Isabella	Madison	Sophia	Ava	Emily	Chloe	Abigail	Amelia
Alabama (2011)	Emma	Ava	Madison	Olivia	Isabella	Addison	Chloe	Elizabeth	Abigail	Anna
Arizona (2011)	Sophia	Isabella	Emma	Emily	Mia	Olivia	Ava	Abigail	Victoria	Chloe
Arkansas (2011)	Emma	Isabella	Addison	Madison	Abigail	Ava	Sophia	Chloe	Emily	Olivia
California (2011)	Sophia	Isabella	Emily	Mia	Emma	Olivia	Sofia	Abigail	Samantha	Natalie
Colorado (2011)	Olivia	Sophia	Emma	Isabella	Abigail	Ava	Emily	Lily	Elizabeth	Ella
Connecticut (2011)	Sophia	Isabella	Olivia	Ava	Emma	Madison	Mia	Emily	Abigail	Gianna
Delaware (2011)	Sophia	Olivia	Ava	Emma	Emily	Abigail	Madison	Aubrey	Isabella	Chloe
District of Columbia (2011)	Sophia	Ava	Elizabeth	Olivia	Sofia	Katherine	Madison	Maya	Isabella	Abigail
Florida (2011)	Isabella	Sophia	Emma	Olivia	Emily	Mia	Ava	Madison	Abigail	Chloe
Georgia (2011)	Emma	Isabella	Madison	Olivia	Ava	Abigail	Sophia	Chloe	Emily	Elizabeth
Hawaii (2011)	Sophia	Olivia	Chloe	Emma	Isabella	Ava	Mia	Lily	Alexis	Abigail
Idaho (2011)	Emma	Sophia	Olivia	Ava	Emily	Abigail	Elizabeth	Addison	Ella	Avery
Illinois (2011)	Sophia	Olivia	Isabella	Emma	Emily	Ava	Mia	Abigail	Sofia	Natalie
Indiana (2011)	Emma	Olivia	Ava	Sophia	Isabella	Addison	Ella	Abigail	Elizabeth	Emily
Iowa (2011)	Emma	Olivia	Sophia	Ava	Addison	Ella	Isabella	Abigail	Natalie	Avery
Kansas (2011)	Sophia	Emma	Olivia	Isabella	Ava	Abigail	Brooklyn	Addison	Ella	Chloe
Kentucky (2011)	Emma	Isabella	Sophia	Olivia	Addison	Ava	Madison	Chloe	Abigail	Brooklyn
Louisiana (2011)	Ava	Emma	Isabella	Sophia	Olivia	Chloe	Madison	Ella	Addison	Aubrey
Maine (2011)	Emma	Sophia	Isabella	Olivia	Ava	Grace	Addison	Madison	Abigail	Ella
Maryland (2011)	Sophia	Olivia	Isabella	Madison	Ava	Emma	Abigail	Chloe	Emily	Elizabeth
Massachusetts (2011)	Sophia	Olivia	Isabella	Emma	Ava	Abigail	Ella	Emily	Mia	Charlotte
Michigan (2011)	Olivia	Sophia	Emma	Isabella	Ava	Madison	Abigail	Ella	Brooklyn	Addison
Minnesota (2011)	Olivia	Sophia	Emma	Ava	Isabella	Abigail	Grace	Ella	Elizabeth	Chloe
Mississippi (2011)	Madison	Emma	Ava	Addison	Olivia	Isabella	Brooklyn	Chloe	Aubrey	Mary
Missouri (2011)	Emma	Sophia	Olivia	Ava	Isabella	Addison	Abigail	Chloe	Madison	Lillian
Montana (2011)	Emma	Madison	Olivia	Ava	Harper	Sophia	Brooklyn	Grace	Emily	Abigail
Nebraska (2011)	Emma	Sophia	Olivia	Ava	Ella	Isabella	Chloe	Madison	Harper	Avery
Nevada (2011)	Sophia	Isabella	Olivia	Emily	Emma	Mia	Abigail	Ava	Chloe	Madison
New Hampshire (2011)	Sophia	Olivia	Emma	Ava	Isabella	Abigail	Ella	Emily	Charlotte	Madison
New Jersey (2011)	Sophia	Isabella	Olivia	Ava	Emily	Emma	Mia	Madison	Abigail	Samantha
New Mexico (2011)	Sophia	Isabella	Mia	Nevaeh	Emma	Ava	Emily	Olivia	Madison	Abigail
New York (2011)	Sophia	Isabella	Olivia	Emma	Ava	Emily	Mia	Madison	Abigail	Chloe
North Carolina (2011)	Emma	Ava	Olivia	Isabella	Sophia	Madison	Abigail	Emily	Chloe	Addison
North Dakota (2011)	Emma	Ava	Sophia	Olivia	Harper	Isabella	Abigail	Ella	Avery	Brooklyn
Ohio (2011)	Emma	Sophia	Ava	Olivia	Isabella	Madison	Abigail	Addison	Chloe	Lillian
Oklahoma (2011)	Emma	Sophia	Isabella	Olivia	Ava	Addison	Emily	Abigail	Brooklyn	Chloe
Oregon (2011)	Sophia	Emma	Olivia	Ava	Isabella	Abigail	Emily	Natalie	Elizabeth	Evelyn
Pennsylvania (2011)	Sophia	Emma	Ava	Olivia	Isabella	Abigail	Emily	Madison	Ella	Mia
Rhode Island (2011)	Sophia	Olivia	Isabella	Emma	Ava	Emily	Mia	Abigail	Lily	Ella
South Carolina (2011)	Madison	Emma	Isabella	Olivia	Ava	Abigail	Sophia	Emily	Elizabeth	Addison
South Dakota (2011)	Ava	Emma	Olivia	Sophia	Brooklyn	Isabella	Emily	Harper	Addison	Grace
Tennessee (2011)	Emma	Isabella	Ava	Olivia	Madison	Addison	Abigail	Chloe	Sophia	Emily
Texas (2011)	Sophia	Isabella	Emma	Mia	Emily	Abigail	Olivia	Ava	Camila	Sofia
Utah (2011)	Olivia	Sophia	Emma	Lily	Abigail	Brooklyn	Elizabeth	Lucy	Avery	Chloe
Vermont (2011)	Emma	Olivia	Sophia	Ava	Isabella	Lillian	Amelia	Madison	Abigail	Grace
Virginia (2011)	Sophia	Emma	Olivia	Isabella	Abigail	Madison	Emily	Ava	Elizabeth	Chloe
Washington (2010)	Sophia	Olivia	Emma	Isabella	Emily	Ava	Abigail	Chloe	Madison	Elizabeth
West Virginia (2011)	Isabella	Emma	Madison	Sophia	Addison	Abigail	Olivia	Ava	Alexis	Chloe
Wisconsin (2011)	Sophia	Emma	Ava	Olivia	Isabella	Addison	Ella	Abigail	Evelyn	Grace
Wyoming (2011)	Emma	Olivia	Addison	Sophia	Isabella	Madison	Elizabeth	Abigail	Zoey	Emily
