Year	Class	Team	Points	Wins
1958	125 cc	Paton	0	0
1958	125 cc	Ducati	0	0
1958	250 cc	NSU	13	0
1958	350 cc	Norton	9	0
1958	500 cc	Norton	0	0
1959	125 cc	Ducati	20	1
1959	250 cc	FB-Mondial	13	0
1959	250 cc	MZ	13	0
1959	350 cc	Norton	2	0
1959	350 cc	AJS	2	0
1959	500 cc	Norton	0	0
1960	125 cc	Ducati	1	0
1960	250 cc	Ducati	8	0
1960	250 cc	FB-Mondial	8	0
1960	350 cc	AJS	0	0
1960	350 cc	Ducati	0	0
1960	500 cc	Norton	13	0
1961	125 cc	EMC	16	1
1961	125 cc	Honda	16	1
1961	250 cc	FB-Mondial	44	4
1961	250 cc	Honda	44	4
1961	350 cc	AJS	6	0
1961	350 cc	MV Agusta	6	0
1961	500 cc	Norton	40	2
1961	500 cc	MV Agusta	40	2
1962	125 cc	EMC	12	0
1962	125 cc	MZ	12	0
1962	250 cc	Benelli	0	0
1962	250 cc	MZ	0	0
1962	350 cc	MV Agusta	20	1
1962	500 cc	MV Agusta	40	5
1963	250 cc	MZ	8	1
1963	350 cc	MV Agusta	28	2
1963	500 cc	MV Agusta	56	7
1964	250 cc	MZ	2	0
1964	350 cc	MV Agusta	12	0
1964	500 cc	MV Agusta	40	7
1965	250 cc	Honda	8	1
1965	350 cc	MV Agusta	20	1
1965	500 cc	MV Agusta	48	8
1966	125 cc	Honda	1	0
1966	250 cc	Honda	56	10
1966	350 cc	Honda	48	6
1966	500 cc	Honda	30	3
1967	250 cc	Honda	50	5
1967	350 cc	Honda	40	6
1967	500 cc	Honda	46	5
