Actor	Character	Soap Opera	Years	Duration
Jette van der Meij	Laura Selmhorst	Goede Tijden, Slechte Tijden	1990—	24 years
Bartho Braat	Jef Alberts	Goede Tijden, Slechte Tijden	1991—	23 years
Caroline De Bruijn	Janine Elschot	Goede Tijden, Slechte Tijden	1992—	22 years
Wilbert Gieske	Robert Alberts	Goede Tijden, Slechte Tijden	1990–2008	18 years
Pamela Teves	Bettina Wertheimer	Onderweg Naar Morgen	1993–2010	17 years
Frits Jansma	JP	Onderweg Naar Morgen	1993–2010	17 years
Erik de Vogel	Ludo Sanders	Goede Tijden, Slechte Tijden	1996—	18 years
Wik Jongsma	Govert Harmsen	Goede Tijden, Slechte Tijden	1991–2006	15 years
Sabine Koning	Anita Dendermonde	Goede Tijden, Slechte Tijden	1992–2003, 2004, 2006–2009	14 years
Ferri Somogyi	Rik de Jong	Goede Tijden, Slechte Tijden	1995–2002, 2002, 2003, 2004, 2007—	14 years
Bettina Berger	Renée Couwenberg	Onderweg Naar Morgen	1993–2005	12 years
Melline Mollerus	Lisette Krol	Onderweg Naar Morgen	1993–2005	12 years
Annemieke Verdoorn	Joyce Couwenberg	Onderweg Naar Morgen	1996–2008	12 years
Pauline van Rhenen	Aafke Couwenberg	Onderweg Naar Morgen	1993–2004	11 years
Charlotte Besijn	Barbara Fischer	Goede Tijden, Slechte Tijden	1999–2010, 2011	11 years
Elly de Graaf	Rosa Gonzalez	Goede Tijden, Slechte Tijden	2000–2011	11 years
Ingeborg Wieten	Suzanne Balk	Goede Tijden, Slechte Tijden	1990–2000	10 years
Jop de Vries	Victor Couwenberg	Onderweg Naar Morgen	1993–2003, 2005	10 years
Inge Schrama	Sjors Langeveld	Goede Tijden, Slechte Tijden	2003—	11 years
