Country	Airport	City	2009	Change (09/08)	Worldwide ranking
South Africa	OR Tambo International Airport	Johannesburg	17,607,255	0 5.5%	74
Egypt	Cairo International Airport	Cairo	14,378,842	0 0.1%	93
Spain	Gran Canaria Airport	Las Palmas de Gran Canaria	9,151,415	0 10.3%	136
South Africa	Cape Town International Airport	Cape Town	7,725,223	0 4.4%	169
Egypt	Sharm el-Sheikh International Airport	Sharm el-Sheikh	7,419,467	0 4.2%	173
Egypt	Hurghada International Airport	Hurghada	6,728,291	0 0.2%	184
Morocco	Mohammed V International Airport	Casablanca	6,392,789	0 2.9%	191
Nigeria	Murtala Muhammed International Airport	Lagos	5,654,122	0 9.1%	209
Kenya	Jomo Kenyatta International Airport	Nairobi	5,077,968	0 6.9%	223
Algeria	Houari Boumedienne Airport	Algiers	4,474,970	0 8.4%	252
South Africa	Durban International Airport	Durban	4,310,095	0 3.3%	255
Tunisia	Carthage Airport	Tunis	4,257,323	0 0.9%	256
Tunisia	Monastir International Airport	Monastir	3,831,924	0 10.1%	272
Ethiopia	Bole International Airport	Addis Ababa	3,552,448	0 6.8%	284
Nigeria	Nnamdi Azikiwe International Airport	Abuja	3,206,683	0 21.1%	304
Morocco	Marrakech-Menara Airport	Marrakech	2,982,151	0 3.8%	318
Tunisia	Djerba–Zarzis International Airport	Djerba	2,457,069	0 6.3%	355
Angola	Quatro de Fevereiro Airport	Luanda	2,430,794	0 9.4%	358
Mauritius	Sir Seewoosagur Ramgoolam International Airport	Mauritius	2,381,810	0 8.7%	358
Sudan	Khartoum International Airport	Khartoum	2,178,097	0 8.0%	372
Egypt	Luxor International Airport	Luxor	1,847,201	0 14.5%	388
France	Roland Garros Airport	Saint-Denis, Réunion	1,749,958	0 5.8%	402
Senegal	Léopold Sédar Senghor International Airport	Dakar	1,554,546	0 13.8%	431
Morocco	Agadir–Al Massira Airport	Agadir	1,456,217	unknown	unknown
Tanzania	Julius Nyerere International Airport	Dar es Salaam	1,422,846	0 7.8%	455
Ghana	Kotoka International Airport	Accra	1,407,734	0 3.2%	456
South Africa	Port Elizabeth Airport	Port Elizabeth	1,357,696	0 7.5%	464
Kenya	Moi International Airport	Mombasa	1,113,874	0 25.6%	504
Algeria	Oran Es Sénia Airport	Oran	1,101,797	0 10.8%	509
Egypt	Alexandria International Airport	Alexandria	1,097,905	0 0.4%	510
Nigeria	Port Harcourt International Airport	Port Harcourt	1,080,088	0 24.4%	517
Ivory Coast	Port Bouet Airport	Abidjan	959,960	0 0.5%	539
