Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	21-4	Rin Nakai	Decision (majority)	Pancrase 252: 20th Anniversary	3	5:00	Yokohama , Kanagawa Prefecture , Japan
Loss	21-3	Vanessa Porto	Decision (unanimous)	Invicta FC 3: Penne vs. Sugiyama	3	5:00	Kansas City, Kansas , United States
Win	21-2	Kelly Warren	Submission (armbar)	RFA 2: Yvel vs. Alexander	3	4:59	Kearney, Nebraska , United States
Win	20-2	Carina Damm	Submission (inverted heel hook)	Shark Fights 14: Horwich vs. Villefort	2	0:28	Lubbock, Texas , United States
Win	19-2	Takayo Hashi	Decision (unanimous)	DaMMAge Fight League: The Big Bang	5	5:00	Atlantic City, New Jersey , United States
Loss	18-2	Roxanne Modafferi	Decision (split)	Moosin: God of Martial Arts	3	5:00	Worcester, Massachusetts , United States
Win	18-1	Valerie Coolbaugh	Submission (rear-naked choke)	Extreme Force: "Locked In The Cage 1"	1	3:58	Philadelphia, Pennsylvania , United States
Win	17-1	Sally Krumdiack	Submission (kimura)	Extreme Challenge: "Mayhem At The Marina"	3	1:45	Atlantic City, New Jersey , United States
Win	16-1	Alexis Davis	TKO (doctor stoppage)	Extreme Challenge: "The War at the Shore"	3	4:23	Atlantic City, New Jersey , United States
Win	15-1	Cody Welchlin	Submission (triangle armbar)	HOOKnSHOOT: BodogFight 2007 Women's Grand Prix	2	2:57	Evansville, Indiana , United States
Win	14-1	Kelly Kobold	Submission (armbar)	BodogFight: Alvarez vs. Lee	4	2:50	Trenton, New Jersey , United States
Win	13-1	Shayna Baszler	TKO (punches)	BodogFight: Costa Rica	2	3:15	Costa Rica
Win	12-1	Julia Berezikova	Submission (armbar)	BodogFight: USA vs. Russia	2	1:28	Vancouver, British Columbia , Canada
Win	11-1	Amanda Buckner	Submission (rear-naked choke)	BodogFight: To The Brink Of War	3	4:31	Costa Rica
Win	10-1	Julie Kedzie	Decision (unanimous)	Ultimate Cage Wars	3	5:00	Chelan, Washington , United States
Win	9-1	Hitomi Akano	Decision (unanimous)	Mix Fight Championship: USA vs. Russia 3	3	5:00	Atlantic City, New Jersey , United States
Win	8-1	Roxanne Modafferi	Decision (unanimous)	Mix Fight Championship: Boardwalk Blitz	3	5:00	Atlantic City, New Jersey , United States
Win	7-1	Kumiko Maekawa	Decision (unanimous)	Smackgirl: Lightweight Anniversary	2	5:00	Tokyo, Japan
Win	6-1	Megumi Yabushita	Decision (majority)	G-Shooto 02	2	5:00	Tokyo, Japan
Win	5-1	Alisa Cantwell	Submission (armbar)	Xtreme Fighting Organization 4	1	2:45	McHenry, Illinois , United States
Win	4-1	Linda Langerak	Submission (armbar)	HOOKnSHOOT: Evolution	2	2:29	Evansville, Indiana , United States
Loss	3-1	Jennifer Howe	TKO (punches)	HOOKnSHOOT: Absolute Fighting Championships 3	1	2:18	Fort Lauderdale, Florida , United States
Win	3-0	Ginele Marquez	Submission (armbar)	Tennessee Shooto: Judgment	1	4:10	Clarksville, Tennessee , United States
Win	2-0	Angela Wilson	TKO (punches)	HOOKnSHOOT: New Wind	1	4:51	Evansville, Indiana , United States
Win	1-0	Shelby Walker	Submission (punches)	HOOKnSHOOT: Revolution	1	2:43	Evansville, Indiana , United States
