Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)
1983	September 4	Neil Bonnett	Butch Mock	Pontiac	183	249.978 (402.3)	1:54:14	131.299
1984	September 1	Ron Bouchard	Race Hill Farm Team	Pontiac	147	200.802 (323.159)	1:50:25	109.115
1985	August 31	Darrell Waltrip	DarWal, Inc.	Chevrolet	147	200.802 (323.159)	1:43:20	116.595
1986	September 1	Dale Earnhardt	Dale Earnhardt, Inc.	Pontiac	147	200.802 (323.159)	2:06:02	95.468
1987	September 5	Harry Gant	Whitaker Racing	Buick	147	200.802 (323.159)	1:56:45	103.196
1988	September 3	Harry Gant	Whitaker Racing	Buick	147	200.802 (323.159)	1:28:35	136.009
1989	September 2	Harry Gant	Whitaker Racing	Buick	147	200.802 (323.159)	1:41:06	119.17
1990	September 1	Dale Jarrett	Horace Isenhower	Pontiac	147	200.802 (323.159)	1:28:22	136.342
1991	August 31	Dale Earnhardt	Dale Earnhardt, Inc.	Chevrolet	147	200.802 (323.159)	1:29:49	134.141
1992	September 5	Michael Waltrip	Bahari Racing	Pontiac	147	200.802 (323.159)	1:27:13	138.14
1993	September 4	Mark Martin	Roush Racing	Ford	147	200.802 (323.159)	1:42:25	117.638
1994	September 3	Mark Martin	Roush Racing	Ford	111*	151.626 (244.018)	1:12:53	124.824
1995	September 2	Mark Martin	Roush Racing	Ford	147	200.802 (323.159)	1:44:36	115.183
1996	August 31	Terry Labonte	Labonte Motorsports	Chevrolet	147	200.802 (323.159)	1:33:47	128.468
1997	August 30	Jeff Burton	Roush Racing	Ford	147	200.802 (323.159)	1:42:02	118.08
1998	September 5	Dick Trickle	Shoemaker Racing	Chevrolet	147	200.802 (323.159)	1:37:46	123.233
1999	September 4	Mark Martin	Roush Racing	Ford	147	200.802 (323.159)	1:31:07	132.227
2000	September 2	Mark Martin	Roush Racing	Ford	147	200.802 (323.159)	1:41:55	118.215
2001	September 1	Jeff Burton	Roush Racing	Ford	147	200.802 (323.159)	1:57:34	102.479
2002	August 31	Jeff Burton	Roush Racing	Ford	74*	101.084 (162.678)	1:05:33	92.525
2003	August 30	Brian Vickers	Hendrick Motorsports	Chevrolet	147	200.802 (323.159)	1:45:00	114.744
