Pick	Player	Position	Nationality	NHL team	College/junior/club team
235	Tero Lehtera	Centre	Finland	Florida Panthers	Kiekko-Espoo (Finland)
236	Tommi Miettinen	Left Wing	Finland	Anaheim Ducks	KalPa Kuopio (Finland)
237	Steve MacKinnon	Forward	United States	Ottawa Senators	Cushing Academy (HS-Massachusetts)
238	Mike Mader	Defence	United States	Winnipeg Jets	Loomis-Chafee High School (HS-Massachusetts)
239	Brian Regan	Goaltender	United States	Hartford Whalers	Westminster High School (HS-Connecticut)
240	Tomas Pisa	Left Wing	Czech Republic	San Jose Sharks	Pardubice HC (Czech Republic)
241	Sergei Shalamai	Left Wing	Russia	Los Angeles Kings	HC Irkutsk (Russia)
242	Shawn Gervais	Right Wing	Canada	Tampa Bay Lightning	Seattle Thunderbirds (WHL)
243	Chris Pittman	Centre	Canada	Quebec Nordiques	Kitchener Rangers (OHL)
244	Andre Payette	Left Wing	Canada	Philadelphia Flyers	Sault Ste. Marie Greyhounds (OHL)
245	Aniket Dhadphale	Left Wing	United States	San Jose Sharks	Marquette Electricians (MAAAMHL)
246	Kirk DeWaele	Defence	Canada	N.Y. Islanders	Lethbridge Hurricanes (WHL)
247	Tyson Nash	Left Wing	Canada	Vancouver Canucks	Kamloops Blazers (WHL)
248	Lars Weibel	Goaltender	Switzerland	Chicago Blackhawks	HC Lugano (Switzerland)
249	Richard Zednik	Left Wing	Slovakia	Washington Capitals	Banská Bystrica (Slovakia)
250	Kevin Harper	Defence	Canada	St. Louis Blues	Wexford Raiders (OJHL)
251	Mark Polak	Centre	Canada	Buffalo Sabres	Medicine Hat Tigers (WHL)
252	Chris Aldous	Defence	United States	Montreal Canadiens	Northwood Prep (HS-New York)
253	Mike Peluso	Right Wing	United States	Calgary Flames	Omaha Lancers (USHL)
254	Jimmy Roy	Left Wing	Canada	Dallas Stars	Thunder Bay Flyers (USHL)
255	Neil Savary	Goaltender	Canada	Boston Bruins	Hull Olympiques (QMJHL)
256	Sergei Berezin	Left Wing	Russia	Toronto Maple Leafs	Khimik Voskresensk (Russia)
257	Tomas Holmstrom	Left Wing	Sweden	Detroit Red Wings	Bodens BK (Sweden)
258	Mikhail Kazakevich	Left Wing	Russia	Pittsburgh Penguins	Yaroslavl Torpedo (Russia)
259	Scott Swanjord	Goaltender	United States	New Jersey Devils	Waterloo Black Hawks (USHL)
260	Radoslav Kropac	Forward	Slovakia	N.Y. Rangers	Slovan Bratislava (Slovakia)
