Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	66	1:23:54.848	1
Jenson Button	BAR - Honda	66	+8.388	13
Fernando Alonso	Renault	66	+16.351	5
David Coulthard	McLaren - Mercedes	66	+19.231	4
Juan Pablo Montoya	Williams - BMW	66	+23.055	2
Mark Webber	Jaguar - Cosworth	66	+41.108	11
Antônio Pizzonia	Williams - BMW	66	+41.956	10
Takuma Sato	BAR - Honda	66	+46.842	8
Giancarlo Fisichella	Sauber - Petronas	66	+1:07.102	14
Christian Klien	Jaguar - Cosworth	66	+1:08.578	12
Jarno Trulli	Renault	66	+1:10.258	6
Rubens Barrichello	Ferrari	66	+1:13.252	7
Felipe Massa	Sauber - Petronas	65	+1 Lap	16
Olivier Panis	Toyota	65	+1 Lap	9
Giorgio Pantano	Jordan - Ford	63	+3 Laps	17
Zsolt Baumgartner	Minardi - Cosworth	62	+4 Laps	20
Gianmaria Bruni	Minardi - Cosworth	62	+4 Laps	19
Nick Heidfeld	Jordan - Ford	42	Handling	18
Cristiano da Matta	Toyota	38	Puncture	15
Kimi Räikkönen	McLaren - Mercedes	13	Rear Wing	3
