Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1988	November 6	Alan Kulwicki	AK Racing	Ford	312	312 (502.115)	3:26:57	90.457	Report
1989	November 5	Bill Elliott	Melling Racing	Ford	312	312 (502.115)	2:57:08	105.683	Report
1990	November 4	Dale Earnhardt	Richard Childress Racing	Chevrolet	312	312 (502.115)	3:13:25	96.786	Report
1991	November 3	Davey Allison	Robert Yates Racing	Ford	312	312 (502.115)	3:15:31	95.746	Report
1992	November 1	Davey Allison	Robert Yates Racing	Ford	312	312 (502.115)	3:00:12	103.885	Report
1993	October 31	Mark Martin	Roush Racing	Ford	312	312 (502.115)	3:06:30	100.375	Report
1994	October 30	Terry Labonte	Hendrick Motorsports	Chevrolet	312	312 (502.115)	2:54:12	107.463	Report
1995	October 29	Ricky Rudd	Rudd Performance Motorsports	Ford	312	312 (502.115)	3:03:18	102.128	Report
1996	October 27	Bobby Hamilton	Petty Enterprises	Pontiac	312	312 (502.115)	2:50:38	109.709	Report
1997	November 2	Dale Jarrett	Robert Yates Racing	Ford	312	312 (502.115)	2:48:55	110.824	Report
1998	October 25	Rusty Wallace	Penske Racing	Ford	257*	257 (413.601)	2:22:30	108.211	Report
1999	November 7	Tony Stewart	Joe Gibbs Racing	Pontiac	312	312 (502.115)	2:38:28	118.132	Report
2000	November 5	Jeff Burton	Roush Racing	Ford	312	312 (502.115)	2:58:13	105.041	Report
2001	October 28	Jeff Burton	Roush Racing	Ford	312	312 (502.115)	3:02:26	102.613	Report
2002	November 10	Matt Kenseth	Roush Racing	Ford	312	312 (502.115)	2:44:25	113.857	Report
2003	November 2	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	312	312 (502.115)	3:19:11	93.984	Report
2004	November 7	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	315*	315 (506.943)	3:19:16	94.848	Report
2005	November 13	Kyle Busch	Hendrick Motorsports	Chevrolet	312	312 (502.115)	3:02:23	102.641	Report
2006	November 12	Kevin Harvick	Richard Childress Racing	Chevrolet	312	312 (502.115)	3:14:44	96.131	Report
2007	November 11	Jimmie Johnson *	Hendrick Motorsports	Chevrolet	312	312 (502.115)	3:01:46	102.989	Report
2008	November 9	Jimmie Johnson	Hendrick Motorsports	Chevrolet	313*	313 (503.724)	3:12:01	97.804	Report
2009	November 15	Jimmie Johnson	Hendrick Motorsports	Chevrolet	312	312 (502.115)	2:49:26	110.486	Report
2010	November 14	Carl Edwards	Roush Fenway Racing	Ford	312	312 (502.115)	2:49:01	110.754	Report
2011	November 13	Kasey Kahne	Red Bull Racing Team	Toyota	312	312 (502.115)	2:45:47	112.918	Report
