-	Aver- age popu- lation (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)	Fertility rates
1900	5 117	138 139	86 146	51 993	27.0	16.8	10.2	402
1901	5 156	139 370	82 772	56 598	27.0	16.1	11.0	404
1902	5 187	137 364	79 722	57 642	26.5	15.4	11.1	395
1903	5 210	133 896	78 610	55 286	25.7	15.1	10.6	382
1904	5 241	134 952	80 152	54 800	25.7	15.3	10.5	383
1905	5 278	135 409	82 443	52 966	25.7	15.6	10.0	383
1906	5 316	136 620	76 366	60 254	25.7	14.4	11.3	381
1907	5 357	136 793	78 149	58 644	25.5	14.6	10.9	377
1908	5 404	138 874	80 568	58 306	25.7	14.9	10.8	379
1909	5 453	139 505	74 538	64 967	25.6	13.7	11.9	371
1910	5 499	135 625	77 212	58 413	24.7	14.0	10.6	360
1911	5 542	132 977	76 462	56 515	24.0	13.8	10.2	349
1912	5 583	132 868	79 241	53 627	23.8	14.2	9.6	344
1913	5 621	130 200	76 724	53 476	23.2	13.6	9.5	332
1914	5 659	129 458	78 311	51 147	22.9	13.8	9.0	329
1915	5 696	122 997	83 587	39 410	21.6	14.7	6.9	306
1916	5 735	121 679	77 771	43 908	21.2	13.6	7.7	299
1917	5 779	120 855	77 385	43 470	20.9	13.4	7.5	293
1918	5 807	117 955	104 594	13 361	20.3	18.0	2.3	283
1919	5 830	115 193	84 289	30 904	19.8	14.5	5.3	272
1920	5 876	138 753	78 128	60 625	23.6	13.3	10.3	322
1921	5 929	127 723	73 536	54 187	21.5	12.4	9.1	293
1922	5 971	116 946	76 343	40 603	19.6	12.8	6.8	266
1923	5 997	113 435	68 424	45 011	18.9	11.4	7.5	255
1924	6 021	109 055	72 001	37 054	18.1	12.0	6.2	243
1925	6 045	106 292	70 918	35 374	17.6	11.7	5.9	234
1926	6 064	102 007	71 344	30 663	16.8	11.8	5.1	222
1927	6 081	97 994	77 219	20 775	16.1	12.7	3.4	211
1928	6 097	97 868	73 267	24 601	16.1	12.0	4.0	208
1929	6 113	92 861	74 538	18 323	15.2	12.2	3.0	195
1930	6 131	94 220	71 790	22 430	15.4	11.7	3.7	196
1931	6 152	91 074	77 121	13 953	14.8	12.5	2.3	188
1932	6 176	89 779	71 459	18 320	14.5	11.6	3.0	183
1933	6 201	85 020	69 607	15 413	13.7	11.2	2.5	172
1934	6 222	85 092	69 921	15 171	13.7	11.2	2.4	167
1935	6 242	85 906	72 813	13 093	13.8	11.7	2.1	170
1936	6 259	88 938	74 836	14 102	14.2	12.0	2.3	175
1937	6 276	90 373	75 392	14 981	14.4	12.0	2.4	177
1938	6 297	93 946	72 693	21 253	14.9	11.5	3.4	184
1939	6 326	97 380	72 876	24 504	15.4	11.5	3.9	190
1940	6 356	95 778	72 748	23 030	15.1	11.4	3.6	186
1941	6 389	99 727	71 910	27 817	15.6	11.3	4.4	192
1942	6 432	113 961	63 741	50 220	17.7	9.9	7.8	219
1943	6 491	125 392	66 105	59 287	19.3	10.2	9.1	241
1944	6 560	134 991	72 284	62 707	20.6	11.0	9.6	261
1945	6 636	135 373	71 901	63 472	20.4	10.8	9.6	263
1946	6 719	132 597	70 635	61 962	19.7	10.5	9.2	257
1947	6 803	128 779	73 579	55 200	18.9	10.8	8.1	250
1948	6 883	126 683	67 693	58 990	18.4	9.8	8.6	247
1949	6 956	121 272	69 537	51 735	17.4	10.0	7.4	239
1950	7 014	115 414	70 296	45 118	16.5	10.0	6.4	228
1951	7 073	110 168	69 799	40 369	15.6	9.9	5.7	220
1952	7 125	110 192	68 270	41 922	15.5	9.6	5.9	222
1953	7 171	110 144	69 553	40 591	15.4	9.7	5.7	225
1954	7 213	105 096	69 030	36 066	14.6	9.6	5.0	218
1955	7 262	107 305	68 634	38 671	14.8	9.5	5.3	225
1956	7 315	107 960	70 205	37 755	14.8	9.6	5.2	229
1957	7 364	107 168	73 132	34 036	14.6	9.9	4.6	229
1958	7 409	105 502	71 065	34 437	14.2	9.6	4.6	226
1959	7 446	104 743	70 889	33 854	14.1	9.5	4.5	229
1960	7 480	102 219	75 093	27 126	13.7	10.0	3.6	217
1961	7 520	104 501	73 555	30 946	13.9	9.8	4.1	221
1962	7 562	107 284	76 791	30 493	14.2	10.2	4.0	225
1963	7 604	112 903	76 460	36 443	14.8	10.1	4.8	233
1964	7 661	122 664	76 661	46 003	16.0	10.0	6.0	247
1965	7 734	122 806	78 194	44 612	15.9	10.1	5.8	239
1966	7 808	123 354	78 440	44 914	15.8	10.0	5.8	237
1967	7 868	121 360	79 783	41 577	15.4	10.1	5.3	228
1968	7 914	113 087	82 476	30 611	14.3	10.4	3.9	207
1969	7 968	107 622	83 352	24 270	13.5	10.5	3.0	194
1970	8 043	110 150	80 026	30 124	13.7	9.9	3.7	194
1971	8 098	114 484	82 717	31 767	14.1	10.2	3.9	198
1972	8 122	112 273	84 051	28 222	13.8	10.3	3.5	193
1973	8 137	109 663	85 640	24 023	13.5	10.5	3.0	188
1974	8 161	109 874	86 316	23 558	13.5	10.6	2.9	191
1975	8 193	103 632	88 208	15 424	12.6	10.8	1.9	178
1976	8 222	98 345	90 677	7 668	12.0	11.0	0.9	170
1977	8 252	96 057	88 202	7 855	11.6	10.7	1.0	164
1978	8 276	93 248	89 681	3 567	11.3	10.8	0.4	161
1979	8 294	96 255	91 074	5 181	11.6	11.0	0.6	166
1980	8 310	97 064	91 800	5 264	11.7	11.0	0.6	169
1981	8 320	94 065	92 034	2 031	11.3	11.1	0.2	163
1982	8 325	92 748	90 671	2 077	11.1	10.9	0.2	160
1983	8 329	91 780	90 791	989	11.0	10.9	0.1	161
1984	8 337	93 889	90 483	3 406	11.3	10.9	0.4	166
