Outcome	Date	Surface	Partner	Opponents in the final	Score in the final
Runner-up	May 17, 2009	Clay	Andrei Pavel	Marcelo Melo André Sá	7–6 (11–9) , 2–6, [7–10]
Runner-up	July 13, 2009	Clay	Victor Hănescu	František Čermák Michal Mertiňák	5–7, 4–6
Winner	January 16, 2010	Hard	Marcus Daniell	Marcelo Melo Bruno Soares	7–5, 6–4
Winner	April 10, 2010	Clay	Robert Lindstedt	Rohan Bopanna Aisam-ul-Haq Qureshi	6–2, 3–6, [10–7]
Winner	June 19, 2010	Grass	Robert Lindstedt	Lukáš Dlouhý Leander Paes	1–6, 7–5, [10–7]
Runner-up	June 21, 2010	Grass	Robert Lindstedt	Jürgen Melzer Philipp Petzschner	1–6, 5–7, 5–7
Winner	July 18, 2010	Clay	Robert Lindstedt	Andreas Seppi Simone Vagnozzi	6–4, 7–5
Winner	August 28, 2010	Hard	Robert Lindstedt	Rohan Bopanna Aisam-ul-Haq Qureshi	6–4, 7–5
Runner-up	January 9, 2011	Hard	Robert Lindstedt	Lukáš Dlouhý Paul Hanley	4–6, ret.
Winner	February 6, 2011	Hard (i)	Dick Norman	Marcel Granollers Marc López	6–3, 6–4
Winner	February 26, 2011	Clay	Victor Hănescu	Marcelo Melo Bruno Soares	6–1, 6–3
Winner	April 9, 2011	Clay	Robert Lindstedt	Colin Fleming Igor Zelenay	6–2, 6–1
Runner-up	June 18, 2011	Grass	Robert Lindstedt	Daniele Bracciali František Čermák	3–6, 6–2, [8–10]
Runner-up	July 2, 2011	Grass	Robert Lindstedt	Bob Bryan Mike Bryan	3–6, 4–6, 6–7 (3–7)
Winner	July 17, 2011	Clay	Robert Lindstedt	Simon Aspelin Andreas Siljeström	6–3, 6–3
Runner-up	August 7, 2011	Hard	Robert Lindstedt	Michaël Llodra Nenad Zimonjić	7–6 (9–7) , 6–7 (8–10) , [7–10]
Runner-up	October 9, 2011	Hard	Robert Lindstedt	Michaël Llodra Nenad Zimonjić	6–7 (2–7) , 6–7 (4–7)
Runner-up	February 19, 2012	Hard (i)	Robert Lindstedt	Michaël Llodra Nenad Zimonjić	6–4, 5–7, [14–16]
Winner	April 28, 2012	Clay	Robert Lindstedt	Jérémy Chardy Łukasz Kubot	7–6 (7–2) , 6–3
Runner-up	May 13, 2012	Clay (blue)	Robert Lindstedt	Mariusz Fyrstenberg Marcin Matkowski	3–6, 4–6
Winner	June 23, 2012	Grass	Robert Lindstedt	Juan Sebastián Cabal Dmitry Tursunov	6–3, 7–6 (7–1)
Runner-up	July 8, 2012	Grass	Robert Lindstedt	Jonathan Marray Frederik Nielsen	6–4, 4–6, 6–7 (5–7) , 7–6 (7–5) , 3–6
Winner	July 15, 2012	Clay	Robert Lindstedt	Alexander Peya Bruno Soares	6–3, 7–6 (7–5)
Winner	August 19, 2012	Hard	Robert Lindstedt	Mahesh Bhupathi Rohan Bopanna	6–4, 6–4
Runner-up	January 12, 2013	Hard	Max Mirnyi	Bob Bryan Mike Bryan	4-6, 4-6
Runner-up	March 3, 2013	Hard	Max Mirnyi	James Blake Jack Sock	4-6, 4-6
Winner	April 28, 2013	Clay	Max Mirnyi	Lukáš Dlouhý Oliver Marach	4-6, 6-4, [10-6]
Winner	June 22, 2013	Grass	Max Mirnyi	Andre Begemann Martin Emmrich	6–3, 7–6 (7–4)
Winner	October 6, 2013	Hard	Max Mirnyi	Fabio Fognini Andreas Seppi	6-4, 6-2
