Year	Date	Winner	Result	Loser	Location
1933	October 15	New York Giants	56-0	Philadelphia Eagles	Polo Grounds
1933	December 10	New York Giants	20-14	Philadelphia Eagles	Baker Bowl
1934	October 28	New York Giants	17-0	Philadelphia Eagles	Polo Grounds
1934	December 2	Philadelphia Eagles	6-0	New York Giants	Baker Bowl
1935	November 24	New York Giants	10-0	Philadelphia Eagles	Polo Grounds
1935	December 1	New York Giants	21-14	Philadelphia Eagles	Baker Bowl
1936	September 13	Philadelphia Eagles	10-7	New York Giants	Philadelphia Municipal Stadium
1936	October 25	New York Giants	21-17	Philadelphia Eagles	Polo Grounds
1937	October 3	New York Giants	16-7	Philadelphia Eagles	Philadelphia Municipal Stadium
1937	October 17	New York Giants	21-0	Philadelphia Eagles	Polo Grounds
1938	September 25	Philadelphia Eagles	14-10	New York Giants	Philadelphia Municipal Stadium
1938	October 16	New York Giants	17-7	Philadelphia Eagles	Polo Grounds
1939	September 24	New York Giants	13-3	Philadelphia Eagles	Philadelphia Municipal Stadium
1939	October 15	New York Giants	17-10	Philadelphia Eagles	Polo Grounds
